row,original_name,normalized_name,candidate_cas,reason
449,2-Methyl-2-Butene 2-Methyl-but-2-ene,2-Methyl-2-Butene 2-Methyl-but-2-ene,,not found in PubChem
454,2-Methylfuran 2-Methyl-furan,2-Methylfuran 2-Methyl-furan,,not found in PubChem
458,2-Nitro-1-Propanol 2-Nitro-propan-1-ol,2-Nitro-1-Propanol 2-Nitro-propan-1-ol,,not found in PubChem
461,2-Nitrothiophene 2-Nitro-thiophene,2-Nitrothiophene 2-Nitro-thiophene,,not found in PubChem
465,2-Octanol Octan-2-ol,2-Octanol Octan-2-ol,,not found in PubChem
470,2-Pentanol Pentan-2-ol,2-Pentanol Pentan-2-ol,,not found in PubChem
477,2-Phenoxy Ethanol 2-Phenoxy-ethanol,2-Phenoxy Ethanol 2-Phenoxy-ethanol,,not found in PubChem
479,2-Phenyl Ethanol 2-Phenyl-ethanol,2-Phenyl Ethanol 2-Phenyl-ethanol,,not found in PubChem
483,2-Propanethiol Propane-2-thiol,2-Propanethiol Propane-2-thiol,,not found in PubChem
486,2-Propyn-1-ol Prop-2-yn-1-ol,2-Propyn-1-ol Prop-2-yn-1-ol,,not found in PubChem
492,2-Thiabutane Methylsulfanyl-ethane,2-Thiabutane Methylsulfanyl-ethane,,not found in PubChem
497,2-Toluidine o-Tolylamine,2-Toluidine o-Tolylamine,,not found in PubChem
499,2Butanone,2Butanone,,not found in PubChem
500,2ButoxyethylAcetate,2ButoxyethylAcetate,,not found in PubChem
501,2ChloroethylEther,2ChloroethylEther,,not found in PubChem
502,2EthoxyethylAcetate,2EthoxyethylAcetate,,not found in PubChem
503,2Furaldehyde,2Furaldehyde,,not found in PubChem
508,"3,3,3-Trichloro Propene 3,3,3-Trichloro-propene","3,3,3-Trichloro Propene 3,3,3-Trichloro-propene",,not found in PubChem
513,"3,4-Dimethyl Phenol 3,4-Dimethyl-phenol","3,4-Dimethyl Phenol 3,4-Dimethyl-phenol",,not found in PubChem
515,"3,4-Dinitrophenol 3,4-Dinitro-phenol","3,4-Dinitrophenol 3,4-Dinitro-phenol",,not found in PubChem
517,"3,4-Epoxy-1-Butene 2-Vinyl-oxirane","3,4-Epoxy-1-Butene 2-Vinyl-oxirane",,not found in PubChem
521,"3,5-Dinitrophenol 3,5-Dinitro-phenol","3,5-Dinitrophenol 3,5-Dinitro-phenol",,not found in PubChem
526,3-Azidopropene 3-Azido-propene,3-Azidopropene 3-Azido-propene,,not found in PubChem
528,3-Bromopropyne 3-Bromo-propyne,3-Bromopropyne 3-Bromo-propyne,,not found in PubChem
530,3-Butenenitrile But-3-enenitrile,3-Butenenitrile But-3-enenitrile,,not found in PubChem
531,3-Butoxybutanol,3-Butoxybutanol,,not found in PubChem
532,3-Butoxybutanol 3-Butoxy-butan-1-ol,3-Butoxybutanol 3-Butoxy-butan-1-ol,,not found in PubChem
535,3-Chloro Allyl Alcohol 3-Chloro-prop-2-en-1-ol,3-Chloro Allyl Alcohol 3-Chloro-prop-2-en-1-ol,,not found in PubChem
541,3-Chloropropionitrile 3-Chloro-propionitrile,3-Chloropropionitrile 3-Chloro-propionitrile,,not found in PubChem
543,3-Chloropropyne 3-Chloro-propyne,3-Chloropropyne 3-Chloro-propyne,,not found in PubChem
550,3-Heptanol Heptan-3-ol,3-Heptanol Heptan-3-ol,,not found in PubChem
554,3-Hydroxy Tetrahydrofuran Tetrahydro-furan-3-ol,3-Hydroxy Tetrahydrofuran Tetrahydro-furan-3-ol,,not found in PubChem
556,3-Methoxy Butanol 3-Methoxy-butan-1-ol,3-Methoxy Butanol 3-Methoxy-butan-1-ol,,not found in PubChem
559,3-Methoxypropionitrile 3-Methoxy-propionitrile,3-Methoxypropionitrile 3-Methoxy-propionitrile,,not found in PubChem
562,3-Methyl Allyl Alcohol But-2-en-1-ol,3-Methyl Allyl Alcohol But-2-en-1-ol,,not found in PubChem
564,3-Methyl Cyclohexanol (mix) 3-Methyl-cyclohexanol,3-Methyl Cyclohexanol (mix) 3-Methyl-cyclohexanol,,not found in PubChem
