name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
SARANEX 4HR,,17.70,18.30,0.70,18.40,,0.700,1,hspip_polymers
4H 35°C,,19.40,13.40,18.00,8.60,,0.700,1,hspip_polymers
4H 35°C no plasticizer included,,20.50,11.30,10.30,6.70,,0.700,1,hspip_polymers
POLYVINYLALCOHOL,,15.00,17.20,17.80,10.20,,0.700,1,hspip_polymers
ACETAL CELANESE,,21.10,9.30,5.90,11.40,,0.700,1,hspip_polymers
ACETALHOMO-DUO,,19.00,5.00,8.00,5.00,,0.700,1,hspip_polymers
CELLULOSE ACETATE,,16.90,16.30,3.70,13.707248,,0.700,1,hspip_polymers
CELL. ACET. BUTYRATE,,17.20,13.80,2.80,12.60,,0.700,1,hspip_polymers
CELL. ACET. PROPIONATE,,9.80,13.60,11.40,15.20,,0.700,1,hspip_polymers
PCTFE,,14.10,2.70,5.50,6.60,,0.700,1,hspip_polymers
FEP,,19.00,4.00,3.00,4.00,,0.700,1,hspip_polymers
FURAN,,19.00,6.00,8.00,5.00,,0.700,1,hspip_polymers
FURF ALC,,19.90,3.90,5.10,3.80,,0.700,1,hspip_polymers
PHENOLIC,,21.60,5.20,18.80,15.40,,0.700,1,hspip_polymers
PETG,,18.00,3.00,4.00,6.00,,0.700,1,hspip_polymers
HDPE,,18.00,0.00,2.00,2.00,,0.700,1,hspip_polymers
PP,,18.00,0.00,1.00,6.00,,0.700,1,hspip_polymers
PECTFE SOL AT HIGH TEMP.,,19.50,7.30,1.70,5.10,,0.700,1,hspip_polymers
PAN,,21.70,14.10,9.10,10.90,,0.700,1,hspip_polymers
PEI 1200PSI,,17.20,6.40,5.20,3.60,,0.700,1,hspip_polymers
PEI 2400PSI,,17.40,4.60,9.00,7.20,,0.700,1,hspip_polymers
PEI 600PSI,,17.30,5.30,4.70,3.30,,0.700,1,hspip_polymers
ESTER GUM,,16.90,4.50,6.50,9.20,,0.700,1,hspip_polymers
ALKYD 45 SOYA,,17.50,2.30,7.70,10.00,,0.700,1,hspip_polymers
SILICONE DC-1107?,,19.60,3.40,10.80,9.80,,0.700,1,hspip_polymers
PVETHYLETHER?,,15.10,3.10,11.90,12.90,,0.700,1,hspip_polymers
PBUTYLACRYLATE,,16.20,9.00,3.00,10.10,,0.700,1,hspip_polymers
PBMA?,,15.90,5.50,5.90,8.50,,0.700,1,hspip_polymers
SILICONE DC 23?,,16.40,0.00,7.80,5.50,,0.700,1,hspip_polymers
PE,,16.00,0.80,2.80,3.20,,0.700,1,hspip_polymers
GILSONITE,,17.10,2.10,3.90,4.90,,0.700,1,hspip_polymers
PVINYLBUTYLETHER,,17.40,3.40,7.80,8.40,,0.700,1,hspip_polymers
NAT RUBBER,,16.00,4.00,6.00,1.30,,0.700,1,hspip_polymers
HYP 20 CHLOROSULFONATED PE,,17.40,3.20,4.00,4.80,,0.700,1,hspip_polymers
ETHCEL N22?,,22.70,0.50,16.50,20.10,,0.700,1,hspip_polymers
CHLORINATED RUBBER,,17.90,6.30,5.10,7.60,,0.700,1,hspip_polymers
DAMMAR GUM,,18.40,4.20,7.80,8.30,,0.700,1,hspip_polymers
VERSAMID 100?,,18.80,3.00,9.20,7.80,,0.700,1,hspip_polymers
PS,,18.50,4.50,2.90,5.30,,0.700,1,hspip_polymers
PV AC,,17.60,2.20,4.00,4.10,,0.700,1,hspip_polymers
PVC,,17.60,7.80,3.40,8.20,,0.700,1,hspip_polymers
PHENOLICS,,19.80,7.20,10.80,12.80,,0.700,1,hspip_polymers
BUNA N BUTADIENE/ACRYLONITRILE,,17.80,3.20,3.40,3.70,,0.700,1,hspip_polymers
PMMA,,18.10,10.50,5.10,9.50,,0.700,1,hspip_polymers
PEO 4000 ? HEATED SAMPLES,,21.50,10.90,13.10,15.90,,0.700,1,hspip_polymers
POLYETHYLENESULFIDE (GOOD),,17.80,3.80,2.20,4.10,,0.700,1,hspip_polymers
PC,,18.10,5.90,6.90,5.50,,0.700,1,hspip_polymers
PLIOLITE P1230,,18.10,4.70,3.70,3.907248,,0.700,1,hspip_polymers
MYLAR PET,,18.00,6.20,6.20,5.00,,0.700,1,hspip_polymers
VCV A COPOLY,,17.30,8.70,6.10,7.80,,0.700,1,hspip_polymers
PUR,,17.90,6.90,3.70,2.70,,0.700,1,hspip_polymers
SAN,,16.60,9.80,7.60,4.80,,0.700,1,hspip_polymers
VINSOL ROSIN,,17.40,10.00,13.00,10.50,,0.700,1,hspip_polymers
EPON 1001,,17.00,9.60,7.80,7.10,,0.700,1,hspip_polymers
SHELLAC,,19.70,10.10,15.10,10.70,,0.700,1,hspip_polymers
POLYMETHACRYLONITRILE,,17.20,14.40,7.60,3.80,,0.700,1,hspip_polymers
CELLULOSE ACETATE,,18.30,16.50,11.90,8.80,,0.700,1,hspip_polymers
CELLULOSE NITRATE,,16.90,13.50,10.30,9.90,,0.700,1,hspip_polymers
"PVOH (NOT GOOD, SEE CHAP. 5)",,17.00,9.00,18.00,4.00,,0.700,1,hspip_polymers
NYLON 66,,16.00,11.00,24.00,3.00,,0.700,1,hspip_polymers
ACRYLOID B-44,,19.40,11.20,4.40,10.50,,0.700,1,hspip_polymers
ACRYLOID B-66,,18.00,9.00,3.00,9.00,,0.700,1,hspip_polymers
ACRYLOID B-72,,19.20,11.20,1.80,11.00,,0.700,1,hspip_polymers
ACRYLOID B-82,,19.10,9.10,3.30,9.00,,0.700,1,hspip_polymers
R+H PBA,,16.00,8.00,8.00,12.00,,0.700,1,hspip_polymers
R+H PiMBA,,20.70,4.10,10.70,11.50,,0.700,1,hspip_polymers
R+H PNBMA,,16.00,6.20,6.60,9.50,,0.700,1,hspip_polymers
R+H PEMA,,19.00,9.00,8.00,11.00,,0.700,1,hspip_polymers
R+H PMAA,,25.60,11.20,19.60,20.30,,0.700,1,hspip_polymers
R+H PMMA,,19.10,11.30,4.10,10.30,,0.700,1,hspip_polymers
BMA/AN 80/20,,17.50,9.90,4.10,9.50,,0.700,1,hspip_polymers
