name_iupac,name_common,name_acronyms,cas,mol_formula,smiles,dD,dP,dH,radius,mw,bp_c,density_g_ml,cf_class,cf_subclass,ghs_hazard,processing_notes
2-chloroprop-2-en-1-ol,2-Chloro Allyl Alcohol,,5976-47-6,C3H5ClO,OCC(Cl)=C,17.1,10.2,16.4,,92.52,138.1,,Halohydrins,Chlorohydrins,H226; H302; H312; H332,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Halohydrins | [CAS] CAS 5976-47-6 validated by pipeline
2-chloroprop-1-ene,2-Chloro Propene (Isopropenyl Chloride),,557-98-2,,,15.5,6.7,2.2,,,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Vinyl halides | [CAS] CAS 557-98-2 validated by pipeline
2-chloro-2-methylpropane,2-Chloro-2-Methyl Propane,,507-20-0,C4H9Cl,CC(C)(C)Cl,15.6,7.6,2.0,,92.57,,,Organochlorides,,H225,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 507-20-0 validated by pipeline
2-chloro-4-methylaniline,2-Chloro-4-Methylaniline,,615-65-6,C7H8ClN,Cc1ccc(N)c(Cl)c1,19.7,7.4,8.9,,141.6,224.1,,Benzene and substituted derivatives,Toluenes,H302; H312; H315; H318; H319; H332; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 615-65-6 validated by pipeline
2-chloro-5-methylphenol,2-Chloro-5-Methyl Phenol,,615-74-7,C7H7ClO,Cc1ccc(Cl)c(O)c1,19.0,7.7,13.1,,142.58,197.9,,Phenols,Cresols,H302; H312; H315; H317; H318; H319; H335; H400,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenols | [CAS] CAS 615-74-7 validated by pipeline
2-chloroacetamide,2-Chloroacetamide,,79-07-2,C2H4ClNO,NC(=O)CCl,17.6,12.4,12.8,,93.51,,,Carboxylic acids and derivatives,Carboxylic acid derivatives,H301; H317; H361; H319; H315; H360,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 79-07-2 validated by pipeline
(1-acetyloxy-2-chloroprop-2-enyl) acetate,2-Chloroallylidene Diacetate,,5459-90-5,C7H9ClO4,CC(=O)OC(OC(C)=O)C(Cl)=C,16.7,7.3,8.8,,192.6,,,Carboxylic acids and derivatives,Carboxylic acid derivatives,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 5459-90-5 validated by pipeline
2-chlorobutane,2-Chlorobutane,,78-86-4,C4H9Cl,CCC(C)Cl,15.8,7.6,2.0,,92.57,,,Organochlorides,,H225; H290; H315; H319; H335; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 78-86-4 validated by pipeline
2-chlorocyclohexan-1-one,2-Chlorocyclohexanone,,822-87-7,C6H9ClO,ClC1CCCCC1=O,18.5,13.0,5.1,,132.59,,,Organooxygen compounds,Carbonyl compounds,H315; H317; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 822-87-7 validated by pipeline
2-chloroethyl acetate,2-Chloroethyl Acetate,EtOAc; EA,542-58-5,C4H7ClO2,CC(=O)OCCCl,16.7,9.6,8.8,,122.55,145.1,,Carboxylic acids and derivatives,Carboxylic acid derivatives,H226; H300; H310; H330,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [NAME] Acronyms: EtOAc; EA | [CAS] CAS 542-58-5 validated by pipeline
2-chloroethylbenzene,2-Chloroethyl Benzene,,622-24-2,C8H9Cl,ClCCc1ccccc1,19.3,6.3,2.2,,140.61,,,Benzene and substituted derivatives,,H315; H319; H412; H413; H227,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 622-24-2 validated by pipeline
1-chloro-2-ethoxyethane,2-Chloroethyl Ethyl Ether,,628-34-2,C4H9ClO,CCOCCCl,16.3,7.9,4.6,,108.57,107.6,,Organooxygen compounds,Ethers,H225; H301; H315; H319; H331; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 628-34-2 validated by pipeline
1-chloro-2-ethylsulfanylethane,2-Chloroethyl Ethyl Sulfide,,693-07-2,C4H9ClS,CCSCCCl,17.2,5.0,6.1,,124.63,157.1,,Thioethers,Dialkylthioethers,H226; H301; H311; H314; H331; H350,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Thioethers | [CAS] CAS 693-07-2 validated by pipeline
2-chlorophenol,2-Chlorophenol,,95-57-8,C6H5ClO,Oc1ccccc1Cl,19.0,5.5,13.9,,128.55,175.8,,Phenols,Halophenols,H302; H312; H332; H411; H300; H227; H314; H318; H330; H360; H370; H301; H335; H351; H361; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenols | [CAS] CAS 95-57-8 validated by pipeline
2-chloroprop-2-enal,2-Chloropropenal,,683-51-2,C3H3ClO,ClC(=C)C=O,17.1,12.9,8.1,,90.51,,,Organooxygen compounds,Carbonyl compounds,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 683-51-2 validated by pipeline
2-chloroprop-2-enoic acid,2-Chloropropenoic Acid,,598-79-8,C3H3ClO2,OC(=O)C(Cl)=C,19.1,9.4,12.4,,106.51,,,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives,H314,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 598-79-8 validated by pipeline
2-chlorothiophene,2-Chlorothiophene,,96-43-5,C4H3ClS,Clc1sccc1,19.2,6.2,8.0,,118.59,128.5,,Aryl halides,Aryl chlorides,H225; H226; H301; H311; H315; H319; H330; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Aryl halides | [CAS] CAS 96-43-5 validated by pipeline
cyclopent-2-en-1-ol,2-Cyclopentenyl Alcohol,,3212-60-0,C5H8O,OC1CCC=C1,18.1,7.6,15.6,,84.12,,,Organooxygen compounds,Alcohols and polyols,H225; H226; H315; H319; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 3212-60-0 validated by pipeline
decan-2-ol,2-Decanol,,1120-06-5,C10H22O,CCCCCCCCC(C)O,15.8,3.9,10.0,,158.28,210.5,,Fatty Acyls,Fatty alcohols,H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Fatty Acyls | [CAS] CAS 1120-06-5 validated by pipeline
(E)-2-ethylbut-2-enal,2-Ethyl Croton Aldehyde,,19780-25-7,C6H10O,CC\C(=C/C)C=O,16.1,8.0,5.5,,98.14,,,Organooxygen compounds,Carbonyl compounds,H226; H311; H315; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 19780-25-7 validated by pipeline
2-ethylhexyl acetate,2-Ethyl Hexyl Acetate,,103-09-3,C10H20O2,,15.8,2.9,5.1,,172.26,199.9,,Carboxylic acids and derivatives,Carboxylic acid derivatives,H315,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Carboxylic acids and derivatives | [CAS] CAS 103-09-3 validated by pipeline
2-ethylhexyl prop-2-enoate,2-Ethyl Hexyl Acrylate,,103-11-7,C11H20O2,,15.3,4.3,3.0,,184.27,217.1,,Carboxylic acids and derivatives,Acrylic acids and derivatives,H315; H317; H335; H412; H319; H227; H336; H351; H373; H401; H411,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Carboxylic acids and derivatives | [CAS] CAS 103-11-7 validated by pipeline
2-(2-ethylhexoxycarbonyl)benzoic acid,2-Ethyl Hexyl Phthalate (Mono),,4376-20-9,,,17.3,6.2,6.8,,,,,Benzene and substituted derivatives,Benzoic acids and derivatives,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 4376-20-9 validated by pipeline
3-methylidenepent-1-ene,"2-Ethyl-1,3-Butadiene",,3404-63-5,C6H10,CCC(=C)C=C,15.3,1.6,3.8,,82.14,72.9,,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 3404-63-5 validated by pipeline
2-ethylbutan-1-ol,2-Ethyl-1-Butanol,,97-95-0,C6H14O,CCC(CC)CO,15.8,4.3,13.5,,102.17,,,Organooxygen compounds,Alcohols and polyols,H302; H312; H226,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 97-95-0 validated by pipeline
3-methylidenepentane,2-Ethyl-1-Butene,,760-21-4,C6H12,CCC(=C)CC,14.9,1.7,3.5,,84.16,,,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,H225; H304; H317; H319; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 760-21-4 validated by pipeline
2-ethylhexan-1-ol,2-Ethyl-Hexanol,,104-76-7,C8H18O,CCCCC(CC)CO,15.9,3.3,11.8,,130.23,,,Fatty Acyls,Fatty alcohols,H315; H319; H332; H335; H402; H227; H336; H361; H371; H401; H312; H314,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Fatty Acyls | [CAS] CAS 104-76-7 validated by pipeline
N-ethylhexan-1-amine,2-Ethylhexyl Amine,,20352-67-4,C8H19N,CCCCC(CC)CN,15.7,4.2,6.1,,129.24,,,Organonitrogen compounds,Amines,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organonitrogen compounds | [CAS] CAS 20352-67-4 validated by pipeline
furan-2-carbonitrile,2-Furonitrile,,617-90-3,C5H3NO,N#Cc1occc1,18.4,15.0,8.2,,93.08,147.1,,Heteroaromatic compounds,,H226; H302; H312; H318; H332,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Heteroaromatic compounds | [CAS] CAS 617-90-3 validated by pipeline
heptan-2-ol,2-Heptanol,,543-49-7,C7H16O,CCCCCC(C)O,15.7,5.4,11.7,,116.2,,,Fatty Acyls,Fatty alcohols,H226; H312; H315; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Fatty Acyls | [CAS] CAS 543-49-7 validated by pipeline
2-methoxyoxane,2-Methoxy Tetrahydropyrane,,6581-66-4,C6H12O2,COC1CCCCO1,17.2,6.6,6.0,,116.16,128.6,,Oxanes,,H226,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Oxanes | [CAS] CAS 6581-66-4 validated by pipeline
"2-methoxy-1,3-dioxolane","2-Methoxy-1,3-Dioxolane",,19693-75-5,C4H8O3,COC1OCCO1,17.8,8.4,7.7,,104.1,129.6,,Organooxygen compounds,Ortho esters,H226,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 19693-75-5 validated by pipeline
(Z)-but-2-enoic acid,2-Methyl (Cis) Acrylic Acid,,503-64-0,,,16.8,5.2,12.4,,,,,Carboxylic acids and derivatives,Carboxylic acids,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 503-64-0 validated by pipeline
2-methylcyclohexan-1-ol,2-Methyl Cyclohexanol (Mix),,583-59-5,,,17.1,6.5,12.5,,,,,Organooxygen compounds,Alcohols and polyols,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 583-59-5 validated by pipeline
2-methylcyclohexan-1-one,2-Methyl Cyclohexanone,,583-60-8,C7H12O,CC1CCCCC1=O,17.6,7.8,4.7,,112.17,162.6,,Organooxygen compounds,Carbonyl compounds,H226; H332; H302; H312; H319; H335; H336,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 583-60-8 validated by pipeline
2-methylpyrazine,2-Methyl Pyrazine,,109-08-0,C5H6N2,Cc1cnccn1,18.3,12.3,10.5,,94.11,135.7,,Diazines,Pyrazines,H226; H302,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Diazines | [CAS] CAS 109-08-0 validated by pipeline
2-methyloxolane,2-Methyl Tetrahydrofuran,THF,96-47-9,C5H10O,CC1CCCO1,16.9,5.0,4.3,,86.13,,,Tetrahydrofurans,,H225; H302; H315; H318; H319; H335; H336; H314,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Tetrahydrofurans | [NAME] Acronyms: THF | [CAS] CAS 96-47-9 validated by pipeline
"2-methyl-1,3-dioxolane","2-Methyl-1,3-Dioxolane",,497-26-7,C4H8O2,CC1OCCO1,17.3,4.8,5.8,,88.11,82.6,,Dioxolanes,"1,3-dioxolanes",H225; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Dioxolanes | [CAS] CAS 497-26-7 validated by pipeline
2-methylbutan-1-ol,2-Methyl-1-Butanol,,137-32-6,C5H12O,CCC(C)CO,16.0,5.1,14.3,,88.15,,,Organooxygen compounds,Alcohols and polyols,H226; H315; H318; H332; H335; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 137-32-6 validated by pipeline
2-methylbut-1-ene,2-Methyl-1-Butene,,563-46-2,C5H10,CCC(C)=C,14.5,1.8,1.3,,70.13,,,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,H224; H225; H302; H304; H315; H336; H341; H351; H411; H319; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 563-46-2 validated by pipeline
(Z)-2-chlorobut-2-enal,2-Methyl-1-Chloro Acrolein,,53175-28-3,C4H5ClO,CC(=C)C(Cl)=O,17.1,10.6,7.3,,104.53,,,Acyl halides,Acyl chlorides,H226; H301; H311; H315; H318; H330; H335; H400,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Acyl halides | [CAS] CAS 53175-28-3 validated by pipeline
2-methylpentan-1-ol,2-Methyl-1-Pentanol,,105-30-6,C6H14O,CCCC(C)CO,15.8,4.9,13.5,,102.17,,,Organooxygen compounds,Alcohols and polyols,H226; H302; H315; H318; H319; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 105-30-6 validated by pipeline
2-methylbutan-2-ol,2-Methyl-2-Butanol,,75-85-4,C5H12O,CCC(C)(C)O,15.3,6.1,13.3,,88.15,,,Organooxygen compounds,Alcohols and polyols,H225; H315; H332; H335; H312; H318; H336; H302; H319; H370,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 75-85-4 validated by pipeline
2-methylbut-2-ene,2-Methyl-2-Butene,,513-35-9,C5H10,CC=C(C)C,14.7,2.0,2.9,,70.13,,,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,H224; H225; H302; H304; H315; H336; H341; H350; H351; H411,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Unsaturated hydrocarbons | [CAS] CAS 513-35-9 validated by pipeline
2-methylfuran,2-Methylfuran,,534-22-5,C5H6O,Cc1occc1,17.3,2.8,7.4,,82.1,,,Heteroaromatic compounds,,H225; H301; H319; H330; H331; H411,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Heteroaromatic compounds | [CAS] CAS 534-22-5 validated by pipeline
2-nitropropan-1-ol,2-Nitro-1-Propanol,,2902-96-7,C3H7NO3,CC(CO)[N+]([O-])=O,16.1,13.7,15.4,,105.09,,,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,,"[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Allyl-type 1,3-dipolar organic compounds | [CAS] CAS 2902-96-7 validated by pipeline"
2-nitropropane,2-Nitropropane,,79-46-9,C3H7NO2,CC(C)[N+]([O-])=O,16.2,12.1,4.1,,89.09,120.4,,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,H226; H302; H332; H350; H331; H341; H412; H320; H330; H336; H370; H372; H373; H351,"[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Allyl-type 1,3-dipolar organic compounds | [CAS] CAS 79-46-9 validated by pipeline"
2-nitrothiophene,2-Nitrothiophene,,609-40-5,C4H3NO2S,[O-][N+](=O)c1sccc1,19.7,16.2,8.2,,129.14,224.6,,Thiophenes,Nitrothiophenes,H302; H312; H332; H341,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Thiophenes | [CAS] CAS 609-40-5 validated by pipeline
octan-2-ol,2-Octanol,,123-96-6,C8H18O,CCCCCCC(C)O,16.1,4.9,11.0,,130.23,,,Fatty Acyls,Fatty alcohols,H315; H318; H319; H226; H411; H227; H305; H316; H335; H402; H412,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Fatty Acyls | [CAS] CAS 123-96-6 validated by pipeline
2-(2-oxopyrrolidin-1-yl)acetamide,2-Oxopyrrolidinacetamid,,7491-74-9,C6H10N2O2,NC(=O)CN1CCCC1=O,17.5,15.6,11.2,,142.16,,,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Carboxylic acids and derivatives | [CAS] CAS 7491-74-9 validated by pipeline
pentan-2-ol,2-Pentanol,,6032-29-7,C5H12O,CCCC(C)O,15.6,6.4,13.3,,88.15,,,Organooxygen compounds,Alcohols and polyols,H226; H332; H335; H315; H319,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [CAS] CAS 6032-29-7 validated by pipeline
2-phenoxyethanol,2-Phenoxy Ethanol,,122-99-6,C8H10O2,OCCOc1ccccc1,17.8,5.7,14.3,,138.16,245.1,,Phenol ethers,,H302; H318; H335; H319; H336; H320; H361,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Phenol ethers | [CAS] CAS 122-99-6 validated by pipeline
2-phenylethanol,2-Phenyl Ethanol,,60-12-8,C8H10O,OCCc1ccccc1,18.3,5.6,11.2,,122.16,219.4,,Benzene and substituted derivatives,,H302; H319; H311; H336; H361; H371; H318,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 60-12-8 validated by pipeline
"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",2-Pinene (dl),,80-56-8,,,16.9,1.8,3.1,,,,,Prenol lipids,Monoterpenoids,,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Prenol lipids | [CAS] CAS 80-56-8 validated by pipeline
propane-2-thiol,2-Propanethiol,,75-33-2,C3H8S,CC(C)S,16.3,6.8,6.5,,76.16,,,Thiols,Alkylthiols,H225; H302; H315; H319; H331,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Thiols | [CAS] CAS 75-33-2 validated by pipeline
propan-2-ol,2-Propanol,IPA; iPrOH,67-63-0,C3H8O,CC(C)O,15.8,6.1,16.4,,60.1,,,Organooxygen compounds,Alcohols and polyols,H225; H319; H336; H318; H373; H400; H410; H335; H361; H370; H372; H303; H305; H313,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organooxygen compounds | [NAME] Acronyms: IPA; iPrOH | [CAS] CAS 67-63-0 validated by pipeline
prop-2-yn-1-ol,2-Propyn-1-ol,,107-19-7,C3H4O,OCC#C,16.1,8.7,18.8,,56.06,113.6,,,,H226; H301; H311; H314; H331; H411; H310; H318; H330; H373; H335; H351; H372; H401; H300; H336; H341,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire not available | [CAS] CAS 107-19-7 validated by pipeline
pyrrolidin-2-one,2-Pyrrolidone,,616-45-5,C4H7NO,O=C1CCCN1,18.2,12.0,9.0,,85.1,245.1,,Pyrrolidines,Pyrrolidones,H315; H318; H319; H335; H360,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Pyrrolidines | [CAS] CAS 616-45-5 validated by pipeline
2-tert-butyl-4-methylphenol,2-t-Butyl-4-Methyl Phenol,,2409-55-4,C11H16O,Cc1ccc(O)c(c1)C(C)(C)C,17.3,3.7,10.5,,164.24,237.1,,Benzene and substituted derivatives,Phenylpropanes,H314; H318; H335; H411; H315; H319; H401,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 2409-55-4 validated by pipeline
methylsulfanylethane,2-Thiabutane,,624-89-5,C3H8S,CCSC,16.2,5.9,5.3,,76.16,66.7,,Thioethers,Dialkylthioethers,H225; H315,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Thioethers | [CAS] CAS 624-89-5 validated by pipeline
2-methylaniline,2-Toluidine,,95-53-4,C7H9N,Cc1ccccc1N,19.4,5.8,9.4,,107.15,,,Benzene and substituted derivatives,Toluenes,H301; H319; H331; H350; H400; H312; H315; H341; H411; H227; H302; H332; H336; H370; H372; H410; H313; H316; H340; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 95-53-4 validated by pipeline
1-ethenyl-2-methylbenzene,2-Vinyl Toluene,,611-15-4,C9H10,Cc1ccccc1C=C,18.6,1.0,3.8,,118.18,160.0,,Benzene and substituted derivatives,Styrenes,H332; H411; H226; H304; H315; H319; H400; H401,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 611-15-4 validated by pipeline
"3,3,3-trichloroprop-1-ene","3,3,3-Trichloro Propene",,2233-00-3,C3H3Cl3,ClC(Cl)(Cl)C=C,17.7,15.5,3.4,,145.41,,,Organochlorides,,H226; H302; H312; H315; H319; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Organochlorides | [CAS] CAS 2233-00-3 validated by pipeline
"1,2-dichloro-4-(trifluoromethyl)benzene","3,4-Dichloro Alpha,Alpha,A-Trifluorotoluene",,328-84-7,C7H3Cl2F3,,20.0,4.7,2.4,,215.0,173.6,,Benzene and substituted derivatives,Trifluoromethylbenzenes,H302; H315; H319; H335; H411; H227,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from cache: Benzene and substituted derivatives | [CAS] CAS 328-84-7 validated by pipeline
"1,2-dichloro-4-nitrobenzene","3,4-Dichloronitrobenzene",,99-54-7,C6H3Cl2NO2,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,20.1,7.2,4.1,,192.0,255.6,,Benzene and substituted derivatives,Nitrobenzenes,H302; H317; H319; H411; H336; H361; H372; H373,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [CAS] CAS 99-54-7 validated by pipeline
"2-(3,4-dichlorophenyl)acetonitrile","3,4-Dichlorophenyl Acetonitrile",MeCN; ACN,3218-49-3,C8H5Cl2N,Clc1ccc(CC#N)cc1Cl,20.5,10.8,4.4,,186.03,,,Benzene and substituted derivatives,Benzyl cyanides,H301; H302; H311; H312; H315; H319; H331; H332; H335,[NAME] name_iupac from PubChem pipeline | [CLASS] ClassyFire from pipeline: Benzene and substituted derivatives | [NAME] Acronyms: MeCN; ACN | [CAS] CAS 3218-49-3 validated by pipeline
"3,4-dichlorotoluene","3,4-Dichlorotoluene",,95-75-0,,,19.8,9.8,2.5,,,,,Benzene and substituted derivatives,Halobenzenes,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Benzene and substituted derivatives | [CAS] CAS 95-75-0 from HSPiP source
"3,4-dimethyl phenol","3,4-Dimethyl Phenol",,95-65-8,,,19.2,6,13.4,,,,,Phenols,Cresols,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Phenols | [CAS] CAS 95-65-8 from HSPiP source
"3,4-dinitrophenol","3,4-Dinitrophenol",,577-71-9,,,19.5,12.8,14.3,,,,,Phenols,Nitrophenols,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Phenols | [CAS] CAS 577-71-9 from HSPiP source
"3,4-epoxy-1-butene","3,4-Epoxy-1-Butene",,930-22-3,,,16.6,7.7,7.4,,,,,Epoxides,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Epoxides | [CAS] CAS 930-22-3 from HSPiP source
"3,5-difluorobenzonitrile","3,5-Difluorobenzonitrile",,64248-63-1,,,18.8,11.2,3.2,,,,,Benzene and substituted derivatives,Benzonitriles,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Benzene and substituted derivatives | [CAS] CAS 64248-63-1 from HSPiP source
"3,5-dinitrophenol","3,5-Dinitrophenol",,586-11-8,,,19.5,12.9,14.4,,,,,Phenols,Nitrophenols,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Phenols | [CAS] CAS 586-11-8 from HSPiP source
3-azidopropene,3-Azidopropene,,821-13-6,,,16.8,7.7,13.4,,,,,"Allyl-type 1,3-dipolar organic compounds",Azo imides,,"[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Allyl-type 1,3-dipolar organic compounds | [CAS] CAS 821-13-6 from HSPiP source"
3-bromopropyne,3-Bromopropyne,,106-96-7,,,18.1,6.5,5.3,,,,,,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire not available | [CAS] CAS 106-96-7 from HSPiP source
3-butenenitrile,3-Butenenitrile,,109-75-1,,,16.2,14.3,5.6,,,,,Organonitrogen compounds,Organic cyanides,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Organonitrogen compounds | [CAS] CAS 109-75-1 from HSPiP source
3-butoxybutanol,3-Butoxybutanol,,NA,,,15.9,5.5,10.6,,,,,,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire not available | [CAS] CAS NA from HSPiP source
3-chloro allyl alcohol,3-Chloro Allyl Alcohol,,29560-84-7,,,17.2,10.3,16.5,,,,,Vinyl halides,Vinyl chlorides,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire from cache: Vinyl halides | [CAS] CAS 29560-84-7 from HSPiP source
3-chloro-1-propanol,3-Chloro-1-Propanol,,627-30-5,,,17.5,5.7,14.7,,,,,,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire not available | [CAS] CAS 627-30-5 from HSPiP source
3-chloro-2-methyl propene,3-Chloro-2-Methyl Propene,,563-47-3,,,16.2,5.6,2,,,,,,,,[NAME] name_iupac: no pipeline enrichment; using lowercase common name | [CLASS] ClassyFire not available | [CAS] CAS 563-47-3 from HSPiP source
