name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,R BUTYL,R BUTYL,,,18.0,0.0,3.0,9.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*BUTYL|^R\s+.*\bCSM\b|^R\s+.*\bACM'
,R ECO,R ECO,,,21.3,8.1,6.1,12.0,Elastomer,ECO,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bR ECO\b|\bECO\b.*RUBBER'
,R CSM,R CSM,,,28.0,14.0,3.4,28.3,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*BUTYL|^R\s+.*\bCSM\b|^R\s+.*\bACM'
,R EBONITE,R EBONITE; DATA FIT 0.722,,,18.7,6.1,2.7,6.6,Elastomer,Ebonite,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bR EBONITE\b'
,R ETHYLENE/PROPYLENE,R ETHYLENE/PROPYLENE,,,16.6,0.0,5.2,9.1,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*ETHYLENE.*PROPYLENE|^R\s+.*\bEPDM'
,R FQ FL/SI,R FQ FL/SI,,,15.9,20.1,6.9,16.8,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*FLUOROCARBON|^R\s+.*FQ FL|^R\s+.*'
,R FKM,R FKM; VITON,,,11.6,23.0,5.0,21.6,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,R NR NAT RUB,R NR NAT RUB,,,20.8,1.8,3.6,14.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*RUBBER|^R\s+.*\bNR\b|^R\s+.*NAT R'
,R NBR,R NBR; nitrile rubber; NBR; nitrile-butadiene rubber,,,19.8,17.8,3.2,19.007248,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,R CR CHLOROPRENE,R CR CHLOROPRENE,,,24.6,8.6,6.4,20.4,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,R AU ESTER PU,R AU ESTER PU,,,17.9,13.3,10.7,17.1,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYURETHANE|^R\s+.*\bPU\b|^R\s+.'
,R PEU ETHER PU,R PEU ETHER PU; polyethylene; PE,,,17.9,13.3,10.7,17.1,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYURETHANE|^R\s+.*\bPU\b|^R\s+.'
,R T SULPHIDE,R T SULPHIDE,,,25.3,17.3,6.7,23.6,Polysulfone / PES / PPS,Polysulfide,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYSULPHIDE|^R\s+.*\bT SULPHIDE\'
,R Q SILICONE (0.748 D ATA FIT),R Q SILICONE (0.748 D ATA FIT),,,13.8,5.0,1.2,14.3,Elastomer,Silicone,CAS not found after 2 lookups; Rule-based classification: matched pattern 'SILICONE|BAYSILON|SILICON RESIN|POLY.DIM'
,R SBR,R SBR,,,17.2,6.0,4.6,9.8,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,R TFP TETFLPROP (0.744 DATA FIT),R TFP TETFLPROP (0.744 DATA FIT),,,16.6,6.8,0.6,7.9,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*FLUOROCARBON|^R\s+.*FQ FL|^R\s+.*'
,R ABS,R ABS; ABS; acrylonitrile butadiene styrene,,,17.6,8.6,6.4,10.9,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,R CELLULOSE ACETATE,R CELLULOSE ACETATE,,,14.9,7.1,11.1,12.4,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,R CHLORINATED PVC,R CHLORINATED PVC; PVC; vinyl; vinyl plastic,,,17.5,6.5,5.5,6.3,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,R DIALLYLPHTHALATE,R DIALLYLPHTHALATE,,,22.2,12.2,8.6,15.8,Polyester & Alkyd,Allyl Resin,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*DIALLYL|^R\s+.*DIALLYLPHTHALATE|\'
,R POM ACETAL,R POM ACETAL; polyacetal; POM; acetal; Delrin,,,17.2,9.0,9.8,5.3,Polyacetal / PEI / PC,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYCARBONATE|\bPOM\b|POLYACETAL|POLYOXY'
,R PA12,R PA12,,,18.5,8.1,9.1,6.3,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYAMIDE|^R\s+.*\bPA\d|^R\s+.*NY'
,R PA66,R PA66,,,18.2,8.8,10.8,5.2,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA'
,R POLYAMIDEIMIDE,R POLYAMIDEIMIDE,,,18.5,5.7,8.7,4.2,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA'
,R POLYBUTYLENETEREPH,R POLYBUTYLENETEREPH,,,18.0,5.6,8.4,4.5,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*BUTYL|^R\s+.*\bCSM\b|^R\s+.*\bACM'
,R POLYCARBONATE,R POLYCARBONATE,,,19.1,10.9,5.1,12.1,Polyacetal / PEI / PC,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYCARBONATE|\bPOM\b|POLYACETAL|POLYOXY'
,R HDPE/LDPE,R HDPE/LDPE; HDPE; high-density polyethylene,,,17.5,4.3,8.3,3.9,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
,R PET,R PET; polyethylene; PE,,,19.1,6.3,9.1,4.8,Polyester & Alkyd,Saturated Polyester,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
,R POLYIMIDES,R POLYIMIDES,,,24.3,19.5,22.9,21.6,Polysulfone / PES / PPS,Polyimide,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYIMIDE|\bPI\b|KAPTON'
,R PMMA,R PMMA; acrylic glass; acrylic; plexiglass; perspex,,,19.3,16.7,4.7,17.4,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,R TPX,R TPX,,,18.8,1.4,6.4,7.9,Polyolefin,Poly(4-methylpentene),CAS not found after 2 lookups; Rule-based classification: matched pattern '\bR TPX\b|TPX\b'
,R POLYPHENYLENEOXIDE,R POLYPHENYLENEOXIDE,,,16.9,8.9,2.7,11.7,Polyacetal / PEI / PC,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYCARBONATE|^R\s+.*\bPC\b|^R\s+'
,R POLYSULPHONE,R POLYSULPHONE,,,19.8,11.2,6.2,11.3,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYSULFONE|^R\s+.*PSU|\bR POLYSU'
,R EPOXY COLD CURING,R EPOXY COLD CURING,,,16.8,10.8,8.8,8.2,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
,R EPOXY HOT CURING,R EPOXY HOT CURING,,,18.3,12.3,9.7,7.3,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
,R HET RESIN,R HET RESIN,,,17.5,11.3,8.3,8.6,Phenolic Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*FURAN|\bR HET RESIN\b'
,R ISOPHTHALIC,R ISOPHTHALIC,,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYESTER|^R\s+.*TEREPHTH|^R\s+.*'
,R TEREPHTALIC,R TEREPHTALIC,,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYESTER|^R\s+.*TEREPHTH|^R\s+.*'
,EPIKOTE 828 (60%),EPIKOTE 828 (60%),EP,,16.6,14.0,2.8,14.9,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 828 (30%),EPIKOTE 828 (30%),EP,,16.3,16.4,1.9,16.7,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1001 (60%),EPIKOTE 1001 (60%),EP,,15.8,16.3,3.3,16.4,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1001 (40%),EPIKOTE 1001 (40%),EP,,16.3,13.1,6.3,10.9,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1001 (20%),EPIKOTE 1001 (20%),EP,,19.8,13.6,8.9,12.0,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1001 (10%),EPIKOTE 1001 (10%),EP,,18.1,11.4,9.0,9.1,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1004 (60%),EPIKOTE 1004 (60%),EP,,17.7,10.1,7.6,9.8,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1004 (30%),EPIKOTE 1004 (30%),EP,,18.5,9.3,8.0,9.6,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1007 (30%),EPIKOTE 1007 (30%),EP,,18.6,10.6,8.1,8.8,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1009 (60%),EPIKOTE 1009 (60%),EP,,17.0,9.6,8.5,7.6,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1009 (30%),EPIKOTE 1009 (30%),EP,,19.8,10.6,10.3,9.7,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,EPIKOTE 1009 (10%),EPIKOTE 1009 (10%),EP,,19.0,9.1,10.7,8.0,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,PIBMA (10%),PIBMA (10%),,,17.0,4.6,7.6,9.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,PIBMA (30%),PIBMA (30%),,,17.1,5.9,0.7,7.307248,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,PMMA (10%),PMMA (10%); acrylic glass; acrylic; plexiglass; perspex,,,17.8,10.4,2.9,9.6,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PMMA (30%),PMMA (30%); acrylic glass; acrylic; plexiglass; perspex,,,17.2,7.2,3.5,4.8,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PBMA (10%),PBMA (10%),,,20.6,3.5,7.2,12.8,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,PBMA (30%),PBMA (30%),,,18.1,5.7,0.0,8.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,PMMA (10%),PMMA (10%); acrylic glass; acrylic; plexiglass; perspex,,,17.6,10.1,5.8,9.4,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PMMA (30%),PMMA (30%); acrylic glass; acrylic; plexiglass; perspex,,,17.5,5.5,3.8,4.5,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PEMA (10%),PEMA (10%); polyethylene; PE,,,16.5,8.7,5.0,10.4,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,PEMA (30%),PEMA (30%); polyethylene; PE,,,16.9,7.8,0.5,7.3,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,CRODA AC500 THERMOSET (10%),CRODA AC500 THERMOSET (10%),,,17.8,6.4,4.7,10.7,Acrylic,Thermoset Acrylic,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bCRODA\b'
,CRODA AC500 THERMOSET (30%),CRODA AC500 THERMOSET (30%),,,21.2,1.4,10.7,12.3,Acrylic,Thermoset Acrylic,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bCRODA\b'
,CRODA AC550 THERMOSET (10%),CRODA AC550 THERMOSET (10%),,,16.3,10.6,7.4,12.9,Acrylic,Thermoset Acrylic,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bCRODA\b'
,CRODA AC550 THERMOSET (30%),CRODA AC550 THERMOSET (30%),,,16.3,10.6,7.4,12.9,Acrylic,Thermoset Acrylic,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bCRODA\b'
,LUMFLON LF200 (10%),LUMFLON LF200 (10%),,,18.5,5.4,6.9,9.9,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bLUMFLON\b|\bLUMFLON LF'
,LUMFLON LF200 (30%),LUMFLON LF200 (30%),,,20.1,4.4,3.2,8.5,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bLUMFLON\b|\bLUMFLON LF'
,LUMFLON LF916 (10%),LUMFLON LF916 (10%),,,17.5,6.8,10.5,12.5,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bLUMFLON\b|\bLUMFLON LF'
,LUMFLON LF916 (30%),LUMFLON LF916 (30%),,,18.1,3.9,8.3,8.8,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bLUMFLON\b|\bLUMFLON LF'
,PLASTOKYD S27 (30%),PLASTOKYD S27 (30%),,,20.1,5.7,5.3,20.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,PLASTOKYD SC140 (30%),PLASTOKYD SC140 (30%),,,25.2,9.2,3.7,20.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,PLASTOKYD SC400 (30%),PLASTOKYD SC400 (30%),,,23.7,0.5,10.3,20.0,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,PLASTOKYD AC4X (30%),PLASTOKYD AC4X (30%),,,23.9,7.8,8.8,19.9,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bDEG\b|\bDPG\b|\bTEG\b|\bHYD BIS\b|ISOP'
,ALLOPRENE R10 (10%),ALLOPRENE R10 (10%),,,19.5,9.2,6.9,7.5,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,ALLOPRENE R10 (30%),ALLOPRENE R10 (30%),,,17.9,5.6,6.7,5.8,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,ALLOPRENE R10 (60%),ALLOPRENE R10 (60%),,,19.6,6.5,5.8,9.1,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYPALON 20 (30%),HYPALON 20 (30%),,,20.3,3.2,0.7,11.3,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
POLYISOPRENE SW,POLYISOPRENE SW,POLYISOPRENE SW,,,17.0,4.0,4.0,7.3,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,BROMOBUTYL RUBBER S,BROMOBUTYL RUBBER S,,,17.6,1.7,2.0,6.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,BROMOBUTYL RUBBER L,BROMOBUTYL RUBBER L,,,17.0,3.4,2.0,6.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,NEOPRENE CR,NEOPRENE CR,,,18.1,4.3,6.7,8.9,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYTREL,HYTREL,,,24.2,14.6,13.2,18.8,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYTREL,HYTREL,,,26.4,18.8,7.4,26.3,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYPALON,HYPALON,,,18.4,3.6,6.4,9.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYPALON,HYPALON,,,18.4,5.6,6.0,9.4,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,EV A 4055 SOL,EV A 4055 SOL,,,17.7,3.5,3.7,4.707248,Vinyl Polymer,EVA,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*EV\s+A\b'
,TOPAS 6013 SOL,TOPAS 6013 SOL,,,18.0,3.0,2.0,5.0,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
,CZ RESIN SOL,CZ RESIN SOL,,,18.0,1.0,3.0,4.0,Natural & Petroleum Resin,Hydrocarbon Resin,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bCZ RESIN\b'
,KAURI GUM,KAURI GUM,,,18.7,8.1,13.0,8.2,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
POLYVINYLPYRROLIDONE,POLYVINYLPYRROLIDONE,POLYVINYLPYRROLIDONE; PVP; povidone,,,21.4,11.6,21.6,17.3,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,PALM OIL,PALM OIL,,,17.7,3.5,3.7,4.7,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
,BETHOXAZIN,BETHOXAZIN,,163269-30-5,22.4,7.6,10.8,13.9,Phenolic Resin,Benzoxazine,CAS found via PubChem: 163269-30-5; Rule-based classification: matched pattern 'BETHOXAZIN|BENZOXAZIN'
,CARBON-60,CARBON-60,,,19.7,2.9,2.7,3.97248,Biological & Other,,CAS lookup skipped: out of scope; Out-of-scope entry
