name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,,23.5,17.5,16.8,15.6,Biological & Other,Inorganic,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ZINK SILICATE|ZINC SILICATE'
,2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,,18.4,9.4,10.1,7.0,Epoxy Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|'
POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,,17.0,12.1,10.2,4.1,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,,18.7,7.5,8.9,5.8,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,NITRILE 20 MIN,NITRILE 20 MIN,,,17.5,7.3,6.5,5.1,Elastomer,NBR,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*NITRILE\b'
,NITRILE 1 HR,NITRILE 1 HR,,,16.6,9.1,4.4,10.0,Elastomer,NBR,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*NITRILE\b'
,NITRILE 4 HR,NITRILE 4 HR,,,19.0,12.6,3.8,13.3,Elastomer,NBR,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*NITRILE\b'
,BUTYL 20 MIN,BUTYL 20 MIN,,,16.5,1.0,5.1,5.0,Elastomer,Butyl Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*BUTYL\s+\d'
,BUTYL 4 HR (2),BUTYL 4 HR (2),,,17.6,2.1,2.1,7.0,Elastomer,Butyl Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*BUTYL\s+\d'
,NATURAL RUBBER 20 MIN,NATURAL RUBBER 20 MIN,,,14.5,7.3,4.5,11.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,NATURAL RUBBER 1 HR,NATURAL RUBBER 1 HR,,,15.6,3.4,9.1,14.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,NATURAL RUBBER 4 HR,NATURAL RUBBER 4 HR,,,19.4,13.2,7.7,19.0,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,PVC 20 MIN,PVC 20 MIN; PVC; vinyl; vinyl plastic,,,16.1,7.1,5.9,9.3,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,PVC 1 HR,PVC 1 HR; PVC; vinyl; vinyl plastic,,,14.9,11.1,3.8,13.2,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
