name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
VINYL SILANE,7291-09-0,16.4,3.7,4.5,10.0,Vinyl Polymer,0.850,1,hsp_polymers_2
CELLOPHAN SW,,16.1,18.5,14.5,9.3,Cellulosic Polymer,0.850,1,hsp_polymers_2
EVOH SOL,,20.5,10.5,12.3,7.3,Vinyl Polymer,0.850,1,hsp_polymers_2
SARANEX 4HR,,17.7,18.3,0.7,18.4,Vinyl Polymer,0.850,1,hsp_polymers_2
4H 35°C,,19.4,13.4,18.0,8.6,Biological & Other,0.850,1,hsp_polymers_2
4H 35°C no plasticizer included,,20.5,11.3,10.3,6.7,Biological & Other,0.850,1,hsp_polymers_2
POLYVINYLALCOHOL,,15.0,17.2,17.8,10.2,Vinyl Polymer,0.850,1,hsp_polymers_2
ACETAL CELANESE,,21.1,9.3,5.9,11.4,Polyacetal / PEI / PC,0.850,1,hsp_polymers_2
ACETALHOMO-DUO,,19.0,5.0,8.0,5.0,Polyacetal / PEI / PC,0.850,1,hsp_polymers_2
CELLULOSE ACETATE,,16.9,16.3,3.7,13.707248,Cellulosic Polymer,0.850,1,hsp_polymers_2
CELL. ACET. BUTYRATE,,17.2,13.8,2.8,12.6,Cellulosic Polymer,0.850,1,hsp_polymers_2
CELL. ACET. PROPIONATE,,9.8,13.6,11.4,15.2,Cellulosic Polymer,0.850,1,hsp_polymers_2
PCTFE,,14.1,2.7,5.5,6.6,Fluoropolymer,0.850,1,hsp_polymers_2
FEP,,19.0,4.0,3.0,4.0,Fluoropolymer,0.850,1,hsp_polymers_2
FURAN,110-00-9,19.0,6.0,8.0,5.0,Phenolic Resin,0.850,1,hsp_polymers_2
FURF ALC,,19.9,3.9,5.1,3.8,Phenolic Resin,0.850,1,hsp_polymers_2
PHENOLIC,,21.6,5.2,18.8,15.4,Phenolic Resin,0.850,1,hsp_polymers_2
PETG,63407-54-5,18.0,3.0,4.0,6.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
HDPE,,18.0,0.0,2.0,2.0,Polyolefin,0.850,1,hsp_polymers_2
PP,,18.0,0.0,1.0,6.0,Polyolefin,0.850,1,hsp_polymers_2
PECTFE SOL AT HIGH TEMP.,,19.5,7.3,1.7,5.1,Fluoropolymer,0.850,1,hsp_polymers_2
PAN,85-85-8,21.7,14.1,9.1,10.9,Acrylic,0.850,1,hsp_polymers_2
PEI 1200PSI,,17.2,6.4,5.2,3.6,Polyester & Alkyd,0.850,1,hsp_polymers_2
PEI 2400PSI,,17.4,4.6,9.0,7.2,Polyester & Alkyd,0.850,1,hsp_polymers_2
PEI 600PSI,,17.3,5.3,4.7,3.3,Polyester & Alkyd,0.850,1,hsp_polymers_2
ESTER GUM,,16.9,4.5,6.5,9.2,Cellulosic Polymer,0.850,1,hsp_polymers_2
ALKYD 45 SOYA,,17.5,2.3,7.7,10.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
SILICONE DC-1107,,19.6,3.4,10.8,9.8,Elastomer,0.850,1,hsp_polymers_2
PVETHYLETHER,,15.1,3.1,11.9,12.9,Vinyl Polymer,0.850,1,hsp_polymers_2
PBUTYLACRYLATE,,16.2,9.0,3.0,10.1,Acrylic,0.850,1,hsp_polymers_2
PBMA,,15.9,5.5,5.9,8.5,Acrylic,0.850,1,hsp_polymers_2
SILICONE DC 23,,16.4,0.0,7.8,5.5,Elastomer,0.850,1,hsp_polymers_2
PE,,16.0,0.8,2.8,3.2,Polyolefin,0.850,1,hsp_polymers_2
GILSONITE,,17.1,2.1,3.9,4.9,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
PVINYLBUTYLETHER,,17.4,3.4,7.8,8.4,Vinyl Polymer,0.850,1,hsp_polymers_2
NAT RUBBER,,16.0,4.0,6.0,1.3,Elastomer,0.850,1,hsp_polymers_2
HYP 20 CHLOROSULFONATED PE,,17.4,3.2,4.0,4.8,Polyolefin,0.850,1,hsp_polymers_2
ETHCEL N22,,22.7,0.5,16.5,20.1,Cellulosic Polymer,0.850,1,hsp_polymers_2
CHLORINATED RUBBER,,17.9,6.3,5.1,7.6,Elastomer,0.850,1,hsp_polymers_2
DAMMAR GUM,,18.4,4.2,7.8,8.3,Natural & Petroleum Resin,0.850,1,hsp_polymers_2
Versamid 100,,18.8,3.0,9.2,7.8,Polyamide,0.850,1,hsp_polymers_2
PS,,18.5,4.5,2.9,5.3,Styrenic,0.850,1,hsp_polymers_2
PV AC,,17.6,2.2,4.0,4.1,Vinyl Polymer,0.850,1,hsp_polymers_2
PVC,,17.6,7.8,3.4,8.2,Vinyl Polymer,0.850,1,hsp_polymers_2
