Solvent,InChIKey,Volume_cm3_per_mol,delta_d_MPa0.5,delta_p_MPa0.5,delta_h_MPa0.5,delta_t_MPa0.5
EthyleneGlycolButylEther,POAOYUHQDCAZBD-UHFFFAOYSA-N,131.6,16.0,5.1,12.3,20.9
EthyleneGlycolMonophenylEther,QCDWFXQBSFUVSP-UHFFFAOYSA-N,124.7,17.8,5.7,14.3,23.533380547639137
EthylFormate,WBJINCZRORDGAQ-UHFFFAOYSA-N,80.2,15.5,8.4,8.4,19.6
EthylLactate,LZCLXQDLBQLTDK-BYPYZUCNSA-N,115.0,16.0,7.6,12.5,21.7
Formamide,ZHNUHDYFZUAESO-UHFFFAOYSA-N,39.8,17.2,26.2,19.0,36.6
FormicAcid,BDAGIHXWWSANSR-UHFFFAOYSA-N,37.8,14.3,11.9,16.6,25.0
Furan,YLQBMQCUIZJEEH-UHFFFAOYSA-N,72.5,17.8,1.8,5.3,18.6
FurfurylAlcohol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,86.5,17.4,7.6,15.1,24.3
GammaButyrolactone,YEJRWHAVMIAJKC-UHFFFAOYSA-N,76.5,18.0,16.6,7.4,25.579679435051567
Heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,147.0,15.3,0.0,0.0,15.3
Hexadecafluoroheptane,LGUZHRODIJCVOC-UHFFFAOYSA-N,227.3,12.1,0.0,0.0,12.1
Hexamethylphosphoramide,GNOIPBMMFNIUFM-UHFFFAOYSA-N,175.7,18.4,8.6,11.3,23.3
Hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,131.4,14.9,0.0,0.0,14.9
IsobutylAcetate,GJRQTCIYDGXPES-UHFFFAOYSA-N,133.5,15.1,3.7,6.3,16.8
IsobutylIsobutyrate,RXGUIWHIADMCFC-UHFFFAOYSA-N,169.8,15.1,2.8,5.8,16.416150584104667
IsopentylAcetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,148.8,15.3,3.1,7.0,17.2
Isophorone,HJOVHMDZYOCNQW-UHFFFAOYSA-N,150.5,16.6,8.2,7.4,19.8
IsopropylAcetate,JMMWKPVZQRWMSS-UHFFFAOYSA-N,117.1,14.9,4.5,8.2,17.592612085759182
IsopropylPalmitate,XUGNVMKQXJXZCD-UHFFFAOYSA-N,330.0,14.3,3.9,3.7,15.3
MCresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,105.0,18.5,6.5,13.7,23.920493305950025
Mesitylene,AUHZEENZYGFFBQ-UHFFFAOYSA-N,139.8,18.0,0.0,0.6,18.0
MesitylOxide,SHOJXDKTYKFBRD-UHFFFAOYSA-N,115.6,16.4,7.2,6.1,18.8
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,40.7,15.1,12.3,22.3,29.7
MethylAcetate,KXKVLQRXCPHEJC-UHFFFAOYSA-N,79.7,15.5,7.2,7.6,18.8
Methylcyclohexane,UAEPNZWRGJTJPN-UHFFFAOYSA-N,128.2,16.0,0.0,1.0,16.0312195418814
MethyleneIodide,NZZFYRREKKOMAT-UHFFFAOYSA-N,80.5,17.8,3.9,5.5,19.0
MethylOleate,QYDYPVFESGNLHU-KHPPLWFESA-N,340.0,14.5,3.9,3.7,15.5
Morpholine,YNAVUWVOSKDBBP-UHFFFAOYSA-N,87.1,18.8,4.9,9.2,21.5
Naphthalene,UFWIBTONFRDIAS-UHFFFAOYSA-N,111.5,19.2,2.0,5.9,20.0
Nitrobenzene,LQNUZADURLCDLV-UHFFFAOYSA-N,102.7,20.1,8.6,4.1,22.1
Nitroethane,MCSAJNNLRCFZED-UHFFFAOYSA-N,71.5,16.0,15.5,4.5,22.7
Nitromethane,LYGJENNIWJXYER-UHFFFAOYSA-N,54.3,15.8,18.8,5.1,25.0
Nitropropane,JSZOAYXJRCEYSX-UHFFFAOYSA-N,89.5,16.6,12.3,5.5,21.379897099845923
NMethylpyrrolidine,AVFZOVWCLRSYKC-UHFFFAOYSA-N,96.5,18.0,12.3,7.2,22.9
"N,NDimethylacetamide",FXHOOIRPVKKKFG-UHFFFAOYSA-N,93.0,16.8,11.5,10.2,22.771253808255707
"N,NDimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,77.0,17.4,13.7,11.3,24.8
"N,NDimethylformamide",ZMXDDKWLCZADIW-UHFFFAOYSA-N,92.5,16.8,11.5,10.2,22.7
"N,NDimethylhydrazine",RHUYHJGZWVXEHW-UHFFFAOYSA-N,76.0,15.3,5.9,11.0,19.8
OctanoicAcid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,159.0,15.1,3.3,8.2,17.6
OleicAcid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,320.0,14.3,3.1,5.5,15.8
OleylAlcohol,ALSTYHKOOCGGFT-KTKRTIGZSA-N,316.0,14.3,2.7,8.0,16.6
OXylene,CTQNGGLPUBDAKN-UHFFFAOYSA-N,121.2,17.8,1.0,3.1,18.0
PentylAcetate,PGMYKACGEOXYJE-UHFFFAOYSA-N,148.0,15.8,3.3,6.1,17.25514416051051
Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,87.5,18.0,5.9,14.9,24.1
Propionitrile,FVSKHRXBFJPNKK-UHFFFAOYSA-N,70.9,15.3,14.3,5.5,21.7
PropylAcetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,115.8,15.3,4.3,7.6,17.616469566857035
Propylamine,WGYKZJWCGVVSQN-UHFFFAOYSA-N,83.0,17.0,4.9,8.6,19.6
PropyleneCarbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,85.0,20.1,18.0,4.1,27.2
PropyleneGlycolMonomethylEtherAcetate,LLHKCFNBLRBOGN-UHFFFAOYSA-N,137.1,15.6,5.6,9.8,19.255129186790725
PropylPropionate,MCSINKKTEDDPNK-UHFFFAOYSA-N,132.5,15.5,5.6,5.7,17.438463235044537
Pyridine,JUJWROOIHBZHMG-UHFFFAOYSA-N,80.9,19.0,8.8,5.9,21.7
Quinoline,SMWDFEZZVXVKRB-UHFFFAOYSA-N,118.0,19.4,7.0,7.6,22.1
Resorcinol,GHMLBKRAJCXXBS-UHFFFAOYSA-N,87.5,18.0,8.4,21.1,28.8
SecButylAcetate,DCKVNWZUADLDEH-UHFFFAOYSA-N,134.0,15.0,3.7,7.6,17.217723426748382
StearicAcid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,326.0,16.4,3.3,5.5,17.6
Styrene,PPBRXRYQALVLMV-UHFFFAOYSA-N,115.6,18.6,1.0,4.1,19.0
SuccinicAnhydride,RINCXYDBBGOEEQ-UHFFFAOYSA-N,66.8,18.6,19.2,16.6,31.5
Sulfolane,HXJUTPCZVOIRIF-UHFFFAOYSA-N,95.3,18.0,18.0,9.9,27.313183629888332
TertButanol,DKGAVHZHDRPRBM-UHFFFAOYSA-N,96.0,15.2,5.1,14.7,21.75178153623284
TertButylAcetate,WMOVHXAZOJBABW-UHFFFAOYSA-N,134.8,15.0,3.7,6.0,16.573774464496612
Tetrachloroethylene,CYTYCFOTNPOANT-UHFFFAOYSA-N,101.1,19.0,6.5,2.9,20.3
Tetrahydrofuran,WYURNTSHIVDZCO-UHFFFAOYSA-N,81.7,16.8,5.7,8.0,19.4
TetrahydrofurfurylAlcohol,BSYVTEYKTMYBMK-UHFFFAOYSA-N,97.4,17.8,8.2,12.9,23.46252330845939
Tetramethylurea,AVQQQNCBBIEMEU-UHFFFAOYSA-N,120.4,16.8,8.2,11.0,21.7
Toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,106.8,18.0,1.4,2.0,18.2
TributylPhosphate,STCOOQWBFONSKY-UHFFFAOYSA-N,345.0,16.4,6.3,4.3,18.0
Trichloroethylene,XSTXAVWGXDQKEL-UHFFFAOYSA-N,90.2,18.0,3.1,5.3,19.0
Trichlorofluoromethane,CYRMSUTZVYGINF-UHFFFAOYSA-N,92.8,15.3,2.0,0.0,15.5
TricresylPhosphate,YACDDVCMSPGAQK-UHFFFAOYSA-N,613.0,19.0,12.3,4.5,23.1
TriethylPhosphate,DQWPFSLDHJDLRL-UHFFFAOYSA-N,171.0,16.8,11.5,9.2,22.3
TrifluoromethylUndecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,196.0,12.5,0.0,0.0,12.5
TrifluoromethylUndecafluorocyclohexane,QIROQPWSJUXOJC-UHFFFAOYSA-N,217.4,12.5,0.0,0.0,12.5
TrimethylPhosphate,WVLBCYQITXONBZ-UHFFFAOYSA-N,99.9,16.8,16.0,10.2,25.4
Water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.0,15.5,16.0,42.4,47.9
