name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"2,4-Dichloro-5-Nitrobenzotrifluoride",400-70-4,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,C7H2Cl2F3NO2,19.9,7.6,3.7,259.99,,,,aromatic,H302; H315; H319; H335,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/621179,
"2,4-Dichloroaniline",554-00-7,Nc1ccc(Cl)cc1Cl,C6H5Cl2N,20.9,6.2,10.0,162.01,245.1,,,aromatic,H301; H311; H331; H373; H400; H410; H302; H370; H372; H317; H318,1.000,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/11123,
"2,4-Dichlorobenzaldehyde",874-42-0,Clc1ccc(C=O)c(Cl)c1,C7H4Cl2O,19.7,8.8,5.4,175.01,233.1,,,aromatic,H314; H318; H411,1.000,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/13404,
"2,4-Dichloronitrobenzene",611-06-3,[O-][N+](=O)c1ccc(Cl)cc1Cl,C6H3Cl2NO2,20.4,8.7,4.2,192.0,258.6,,,aromatic,H302; H311; H315; H317; H319; H335; H341; H350; H411; H351; H361; H373; H312,0.970,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/11899,
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,C6H4Cl2O,20.0,7.2,13.1,163.0,210.1,,,aromatic,H302; H311; H314; H411; H300; H318; H331; H335; H336; H370; H401; H410,1.000,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/8449,
"2,4-Difluoronitrobenzene",446-35-5,[O-][N+](=O)c1ccc(F)cc1F,C6H3F2NO2,19.4,11.0,3.7,159.09,207.1,,,aromatic,H301; H311; H315; H319; H330; H335; H227; H310; H371; H401; H411,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/67967,
"2,4-Dimethylaniline",95-68-1,Cc1ccc(N)c(C)c1,C8H11N,19.2,5.2,8.7,121.18,218.1,,,aromatic,H301; H311; H319; H330; H331; H373; H411; H227; H302; H332; H370; H372; H312; H315; H335; H341; H351,1.000,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/7250,
"2,4-Dinitrotoluene",121-14-2,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,C7H6N2O4,20.0,13.1,4.9,182.13,,,,aromatic,H301; H311; H331; H341; H350; H361; H373; H400; H410; H330; H336; H370; H372; H302; H316; H351,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/8461,
"2,5-Dichlorobenzotrifluoride",320-50-3,FC(F)(F)c1cc(Cl)ccc1Cl,C7H3Cl2F3,20.0,4.7,2.4,215.0,,,,aromatic,H314,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/35360,
"2,5-Dichlorophenol",583-78-8,Oc1cc(Cl)ccc1Cl,C6H4Cl2O,20.0,6.3,12.1,163.0,211.1,,,aromatic,H302; H314; H315; H318; H319; H411; H335; H371; H372; H401,1.000,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/66,
