name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source,source_url
DYNAPOL L 812,,22.6,13.1,5.8,16.8,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DYNAPOL L 850,,20.0,6.2,7.0,9.5,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DYNOMIN MM 9,,18.8,14.0,12.3,10.5,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
DYNOMIN UM 15,,19.9,15.8,13.4,11.7,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ELVAX 150,,18.7,2.3,0.7,6.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ELVAX 250,,19.0,2.0,1.0,3.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ELVAX EOD 3602-1,,17.7,3.3,2.7,5.4,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPIKOTE 1001,,20.0,10.32,10.11,10.02,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPIKOTE 1004,,17.4,10.5,9.0,7.9,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPIKOTE 1007,,21.0,11.1,13.4,11.7,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPIKOTE 1009,,19.3,9.37,10.95,8.26,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPIKOTE 828,,23.1,14.6,5.0,20.5,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPOCRYL E-11 ?,,17.3,12.9,12.1,8.5,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EPON 1001,,17.0,9.6,7.8,7.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Epoxies,,19.2,10.9,9.6,11.1,Epoxy,0.4,accudyne,https://www.accudynetest.com/polytable_02.html
Epoxy resin (Bisphenol A),,18.0,10.0,8.0,10.0,Epoxy,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
ESTANE X-7 ?? DIO XANE ONLY,,19.0,1.8,7.4,1.0,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ESTER GUM,,16.9,4.5,6.5,9.2,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ESTER GUM BL,,19.64,4.73,7.77,10.64,Rosin Derivatives,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ESTIMATE DRIED OIL,,16.0,6.0,7.0,5.0,Polymers of Interest for Conservation of Paintings,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ETHCEL N22?,,22.7,0.5,16.5,20.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ETHOCEL HE10,,17.9,4.3,3.9,5.9,Ethyl Cellulose,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
ETHOCEL STD 20,,20.1,6.9,5.9,9.9,Ethyl Cellulose,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Ethyl cellulose,9004-57-3,17.4,4.2,9.6,7.3,Ethyl Cellulose,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
EVA 4055 SOL,,17.7,3.5,3.7,4.7,Ethylene Vinylacetate (EVA) Solubility,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EVOH SOL,,20.5,10.5,12.3,7.3,Correlations for Some Barrier-Type Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
EXON 470 PVC,,17.4,7.8,3.8,7.7,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
