name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
1-Heptanol,,,,16.0,5.3,11.7,,,,141.4,alcohol,,0.8,1,hansen_a1,,
1-Heptene,,,,15.0,1.1,2.6,,,,141.9,other,,0.8,1,hansen_a1,,
1-Hexanol,,,,15.9,5.8,12.5,,,,124.9,alcohol,,0.8,1,hansen_a1,,
1-Hexene,,,,14.7,1.1,0.0,,,,126.1,other,,0.8,1,hansen_a1,,
"1-Methoxy-1,3-Butadiene",,,,15.5,8.3,5.4,,,,101.8,other,,0.8,1,hansen_a1,,
1-Methyl Imidazole,,,,19.7,15.6,11.2,,,,79.5,amine,,0.8,1,hansen_a1,,
1-Methyl Naphthalene,,,,20.6,0.8,4.7,,,,138.8,aromatic,,0.8,1,hansen_a1,,
1-Methyl Vinyl Methyl Ether,,,,14.8,4.2,5.6,,,,96.1,ether,,0.8,1,hansen_a1,,
1-Naphthol,,,,19.7,6.3,12.3,,,,131.7,alcohol,,0.8,1,hansen_a1,,
1-Nitropropane,,,,16.6,12.3,5.5,,,,88.4,nitro,,0.8,1,hansen_a1,,
1-Nonanol,,,,16.0,4.8,10.6,,,,174.4,alcohol,,0.8,1,hansen_a1,,
1-Octanol,,,,16.0,5.0,11.9,,,,157.7,alcohol,,0.8,1,hansen_a1,,
1-Octene,,,,15.3,1.0,2.4,,,,158.0,other,,0.8,1,hansen_a1,,
1-Pentanol,,,,15.9,5.9,13.9,,,,108.6,alcohol,,0.8,1,hansen_a1,,
1-Pentene,,,,13.9,1.4,3.8,,,,110.4,other,,0.8,1,hansen_a1,,
1-Propanethiol,,,,16.1,5.8,5.7,,,,90.5,hydrocarbon,,0.8,1,hansen_a1,,
1-Propanol,,,,16.0,6.8,17.4,,,,75.2,alcohol,,0.8,1,hansen_a1,,
"2,2',5,5'-Tetrathiafulvalen",,,,21.0,8.2,8.4,,,,204.0,other,,0.8,1,hansen_a1,,
"2,2,2-Trifluoro Ethano",,,,15.4,8.3,16.4,,,,72.3,halogenated,,0.8,1,hansen_a1,,
"2,2,4-Trimethyl-1,3-Pentanediol",,,,15.1,6.1,9.8,,,,227.4,hydrocarbon,,0.8,1,hansen_a1,,
"2,2,4-Trimethylpentane",,,,14.1,0.0,0.0,,,,166.1,hydrocarbon,,0.8,1,hansen_a1,,
"2,2,6,6-Tetrachlorocyclohexanone",,,,19.5,14.0,6.3,,,,138.8,ketone,,0.8,1,hansen_a1,,
"2,3,4-Trifluoro Nitrobenzen",,,,19.5,7.7,3.5,,,,122.0,halogenated,,0.8,1,hansen_a1,,
"2,3-Benzofuran (Cumaron)",,,,18.7,5.1,5.7,,,,110.2,ether,,0.8,1,hansen_a1,,
"2,3-Butadiene-1-ol",,,,16.2,6.6,16.8,,,,76.5,other,,0.8,1,hansen_a1,,
"2,3-Butylene Carbonate",,,,18.0,16.8,3.1,,,,105.5,ester,,0.8,1,hansen_a1,,
"2,3-Dibromoprene",,,,17.7,11.8,6.4,,,,103.4,halogenated,,0.8,1,hansen_a1,,
"2,3-Dichloro-1,3-Butadiene",,,,17.1,2.3,2.8,,,,104.0,halogenated,,0.8,1,hansen_a1,,
"2,3-Dichloronitrobenzene",,,,19.7,12.6,4.4,,,,132.5,nitro,,0.8,1,hansen_a1,,
"2,3-Dichloropropanol",,,,17.5,9.2,14.6,,,,95.2,alcohol,,0.8,1,hansen_a1,,
"2,3-Dichloropropene",,,,16.2,7.8,3.0,,,,91.6,halogenated,,0.8,1,hansen_a1,,
"2,3-Dimethyl-1-Butene",,,,14.9,1.2,2.8,,,,125.2,other,,0.8,1,hansen_a1,,
"2,3-Dithiabutane",,,,17.3,7.8,6.5,,,,88.6,hydrocarbon,,0.8,1,hansen_a1,,
"2,4,5-Trichlorothiophenol",,,,21.0,4.5,9.1,,,,145.0,alcohol,,0.8,1,hansen_a1,,
"2,4,6-Trichlorophenol",,,,20.3,5.1,10.8,,,,132.5,alcohol,,0.8,1,hansen_a1,,
"2,4-Dichloro-3-Fluoronitrobenzene",,,,19.9,7.2,4.2,,,,140.0,nitro,,0.8,1,hansen_a1,,
"2,4-Dichloro-5-Nitrobenzotrifluorid",,,,19.9,7.6,3.7,,,,162.0,halogenated,,0.8,1,hansen_a1,,
"2,4-Dichlorobenzaldehyde",,,,19.7,8.8,5.4,,,,135.7,halogenated,,0.8,1,hansen_a1,,
"2,4-Dichloronitrobenzene",,,,20.4,8.7,4.2,,,,133.4,nitro,,0.8,1,hansen_a1,,
"2,4-Difluoronitrobenzen",,,,19.4,11.0,3.7,,,,109.6,halogenated,,0.8,1,hansen_a1,,
"2,4-Dimethylaniline",,,,19.2,5.2,8.7,,,,123.7,amine,,0.8,1,hansen_a1,,
"2,4-Dinitrotoluene",,,,20.0,13.1,4.9,,,,137.9,nitro,,0.8,1,hansen_a1,,
"2,4-Pentanedione",,,,17.1,9.0,4.1,,,,103.1,hydrocarbon,,0.8,1,hansen_a1,,
"2,5-Dichlorobenzotrifluorid",,,,20.0,4.7,2.4,,,,145.5,halogenated,,0.8,1,hansen_a1,,
"2,5-Dichlorophenol",,,,20.0,6.3,12.1,,,,119.0,alcohol,,0.8,1,hansen_a1,,
"2,5-Dimethoxytetrahydrofuran",,,,16.8,7.2,8.2,,,,129.6,ether,,0.8,1,hansen_a1,,
"2,5-Dimethyl Pyrrole",,,,18.3,7.6,6.8,,,,101.8,heterocyclic,,0.8,1,hansen_a1,,
"2,5-Tetrahydrofuran Dimethanol",,,,17.9,8.5,18.9,,,,114.5,alcohol,,0.8,1,hansen_a1,,
"2,6-Dichloroanisole",,,,19.8,8.4,6.5,,,,137.1,ether,,0.8,1,hansen_a1,,
"2,6-Dichlorophenol",,,,20.1,7.5,10.9,,,,119.0,alcohol,,0.8,1,hansen_a1,,
