name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
MOWILITH 50 PVAC,MOWILITH 50 PVAC,,20.93,11.27,9.66,13.71,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,MOWILITH 50 PVAC,MOWILITH 50 PVAC,,,,
POLYSTYRENE LG,POLYSTYRENE LG,,22.28,5.75,4.3,12.68,Styrenic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYSTYRENE LG,POLYSTYRENE LG,,,,
LAROFLEX MP 45,LAROFLEX MP 45,,18.4,8.4,5.8,9.0,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LAROFLEX MP 45,LAROFLEX MP 45,,,,
VILIT MB 30,VILIT MB 30,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MB 30,VILIT MB 30,,,,
VILIT MC 31,VILIT MC 31,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MC 31,VILIT MC 31,,,,
VILIT MC 39,VILIT MC 39,,18.4,7.6,6.7,6.8,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VILIT MC 39,VILIT MC 39,,,,
VINYLITE VAGD,VINYLITE VAGD,,17.1,10.4,6.5,7.5,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VAGD,VINYLITE VAGD,,,,
VINYLITE VAGH,VINYLITE VAGH,,16.5,10.9,6.4,7.7,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VAGH,VINYLITE VAGH,,,,
VINYLITE VMCA,VINYLITE VMCA,,17.7,11.1,6.9,8.7,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCA,VINYLITE VMCA,,,,
VINYLITE VMCC,VINYLITE VMCC,,17.6,11.1,6.8,8.8,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCC,VINYLITE VMCC,,,,
VINYLITE VMCH,VINYLITE VMCH,,17.6,11.1,6.4,8.6,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCH,VINYLITE VMCH,,,,
VINYLITE VYHH,VINYLITE VYHH,,17.4,10.2,5.9,7.8,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYHH,VINYLITE VYHH,,,,
VINYLITE VYLF,VINYLITE VYLF,,18.1,10.3,4.2,8.3,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYLF,VINYLITE VYLF,,,,
Alftalat AC 366,ALFTALAT AC 366,,18.6,10.0,5.0,10.4,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AC 366,Alftalat AC 366,,,,
Alftalat AM 756,ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AM 756,Alftalat AM 756,,,,
Alftalat AN 896,ALFTALAT AN 896,,22.9,15.2,7.6,18.1,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AN 896,Alftalat AN 896,,,,
Alftalat AN 950,ALFTALAT AN 950,,22.6,13.8,8.1,17.1,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AN 950,Alftalat AN 950,,,,
Alftalat AT 316,ALFTALAT AT 316,,20.5,9.3,9.1,12.4,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AT 316,Alftalat AT 316,,,,
