name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
VITEL PE101-X,VITEL PE101-X,,21.3,6.3,4.7,7.3,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITEL PE101-X,VITEL PE101-X,,,,
HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,17.0,4.4,6.2,5.0,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,,,
HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,18.7,8.9,5.5,8.4,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,,,
PENTA BENZ MAL,PENTA BENZ MAL,,19.4,12.2,10.2,10.8,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PENTA BENZ MAL,PENTA BENZ MAL,,,,
SOL MYLAR 49001,SOL MYLAR 49001,,19.0,5.0,4.0,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOL MYLAR 49001,SOL MYLAR 49001,,,,
SOL MYLAR 49002,SOL MYLAR 49002,,19.0,5.0,5.0,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOL MYLAR 49002,SOL MYLAR 49002,,,,
TEG EG MAL TEREP,TEG EG MAL TEREP,,18.8,11.4,9.2,10.2,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TEG EG MAL TEREP,TEG EG MAL TEREP,,,,
TEG MALEATE,TEG MALEATE,,18.1,13.9,12.1,9.7,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TEG MALEATE,TEG MALEATE,,,,
VAREZ 123,VAREZ 123,,17.3,10.9,11.9,10.7,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VAREZ 123,VAREZ 123,,,,
AMOCO 18-290,AMOCO 18-290,,19.3,3.7,7.9,7.8,Polyolefin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,AMOCO 18-290,AMOCO 18-290,,,,
BUTON 100 BUTAD-STY,BUTON 100 BUTAD-STY,,17.0,4.0,3.0,7.3,Styrenic,SBS,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTON 100 BUTAD-STY,BUTON 100 BUTAD-STY,,,,
BUTON 300,BUTON 300,,17.3,3.7,7.3,7.0,Styrenic,SBS,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTON 300,BUTON 300,,,,
KOPPERS KTPL-A,KOPPERS KTPL-A,,19.3,3.7,7.9,7.8,Phenolic Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,KOPPERS KTPL-A,KOPPERS KTPL-A,,,,
RUBBER MOD PS,RUBBER MOD PS,,20.0,5.0,1.0,7.0,Elastomer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,RUBBER MOD PS,RUBBER MOD PS,,,,
STY MAL ANH,STY MAL ANH,,23.4,13.8,15.2,16.5,Styrenic,SMA,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY MAL ANH,STY MAL ANH,,,,
LYTRON 820,LYTRON 820,,21.1,13.1,14.5,14.4,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,LYTRON 820,LYTRON 820,,,,
MARBON 9200,MARBON 9200,61789-96-6,19.0,4.0,4.0,6.0,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,MARBON 9200,MARBON 9200,,,,
PARAPOL S-50,PARAPOL S-50,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PARAPOL S-50,PARAPOL S-50,,,,
PARAPOL S-60,PARAPOL S-60,,17.9,3.9,4.9,3.9,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PARAPOL S-60,PARAPOL S-60,,,,
PICCOFLEX 120,PICCOFLEX 120,,17.4,7.8,3.8,7.7,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PICCOFLEX 120,PICCOFLEX 120,,,,
SHELL POLYALDEHYDE EX 39,SHELL POLYALDEHYDE EX 39,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SHELL POLYALDEHYDE EX 39,SHELL POLYALDEHYDE EX 39,,,,
SHELL POLYALDEHYDE EX 40,SHELL POLYALDEHYDE EX 40,,19.6,10.0,3.6,9.4,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SHELL POLYALDEHYDE EX 40,SHELL POLYALDEHYDE EX 40,,,,
SHELL X-450,SHELL X-450,,19.3,9.5,11.1,11.1,Polyacetal / PEI / PC,Polyaldehyde,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SHELL X-450,SHELL X-450,,,,
SMA 1430A,SMA 1430A,,18.8,11.4,16.4,14.1,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SMA 1430A,SMA 1430A,,,,
SAN 85/15,SAN 85/15,,19.1,9.5,3.1,8.7,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SAN 85/15,SAN 85/15,,,,
STY/BUTENOL 85/15,STY/BUTENOL 85/15,,17.4,7.8,3.8,7.7,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/BUTENOL 85/15,STY/BUTENOL 85/15,,,,
STY/CYCLOL 82/18,STY/CYCLOL 82/18,,18.2,5.6,7.2,5.7,Acrylic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/CYCLOL 82/18,STY/CYCLOL 82/18,,,,
STY/2EHA/AA 81/11/8,STY/2EHA/AA 81/11/8,,17.7,4.9,5.9,5.9,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/2EHA/AA 81/11/8,STY/2EHA/AA 81/11/8,,,,
STY/MAA 90/10,STY/MAA 90/10,,18.7,6.3,7.3,6.7,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/MAA 90/10,STY/MAA 90/10,,,,
STY/MA 85/15,STY/MA 85/15,,18.0,9.0,3.0,9.0,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/MA 85/15,STY/MA 85/15,,,,
STY/HALF ESTER MA 60/40,STY/HALF ESTER MA 60/40,,18.9,10.9,10.7,9.7,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/HALF ESTER MA 60/40,STY/HALF ESTER MA 60/40,,,,
STY/PROP HALF E MA 57/43,STY/PROP HALF E MA 57/43,,18.0,9.8,8.4,10.1,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/PROP HALF E MA 57/43,STY/PROP HALF E MA 57/43,,,,
STY/VBE 85/15,STY/VBE 85/15,,17.4,7.8,3.8,7.7,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,STY/VBE 85/15,STY/VBE 85/15,,,,
Styron 440M-27 MOD PS,STYRON 440M-27 MOD PS,,20.0,5.0,1.0,7.0,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Styron 440M-27 MOD PS,Styron 440M-27 MOD PS,,,,
Styron 475M-27,STYRON 475M-27,,20.0,5.0,1.0,7.0,Styrenic,HIPS,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,High-impact polystyrene,HIPS,high-impact polystyrene; HIPS,,,,
Styron 480-27,STYRON 480-27,,20.0,6.0,4.0,5.3,Styrenic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Styron 480-27,Styron 480-27,,,,
Acryloid K120N,ACRYLOID K120N,,17.6,10.0,3.8,9.5,Acrylic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Acryloid K120N,Acryloid K120N,,,,
DODA 6225,DODA 6225,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DODA 6225,DODA 6225,,,,
DODA 3457,DODA 3457,,19.0,2.0,1.0,3.0,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DODA 3457,DODA 3457,,,,
ELVAX 250,ELVAX 250,,19.0,2.0,1.0,3.0,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ELVAX 250,ELVAX 250,,,,
ELVAX 150,ELVAX 150,,18.7,2.3,0.7,6.0,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ELVAX 150,ELVAX 150,,,,
ELVAX EOD 3602-1,ELVAX EOD 3602-1,,17.7,3.3,2.7,5.4,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ELVAX EOD 3602-1,ELVAX EOD 3602-1,,,,
EXON 470 PVC,EXON 470 PVC,,17.4,7.8,3.8,7.7,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EXON 470 PVC,EXON 470 PVC,,,,
EXON 471,EXON 471,,17.9,8.7,2.5,9.0,Vinyl Polymer,PVC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EXON 471,EXON 471,,,,
EXON 473,EXON 473,,17.4,7.8,3.8,7.7,Vinyl Polymer,PVC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EXON 473,EXON 473,,,,
GEON 121,GEON 121,,19.5,6.7,11.1,8.0,Vinyl Polymer,PVC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,GEON 121,GEON 121,,,,
POLYCYCLOLa,POLYCYCLOLa,,19.0,9.0,15.0,12.0,Acrylic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYCYCLOLa,POLYCYCLOLa,,,,
PVBE,PVBE,,16.7,3.7,8.3,8.6,Vinyl Polymer,PVE,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVBE,PVBE,,,,
PVEE,PVEE,,16.0,4.0,12.0,14.0,Vinyl Polymer,PVEE,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVEE,PVEE,,,,
FORMVAR 7/70E PVFORMAL,FORMVAR 7/70E PVFORMAL,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,FORMVAR 7/70E PVFORMAL,FORMVAR 7/70E PVFORMAL,,,,
FORMVAR 15/95E,FORMVAR 15/95E,,22.2,12.6,14.2,14.0,Vinyl Polymer,PVFormal,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,FORMVAR 15/95E,FORMVAR 15/95E,,,,
PVIBE,PVIBE,,16.0,1.0,8.0,10.0,Vinyl Polymer,PVIBE,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVIBE,PVIBE,,,,
SARAN F-120 VCL2/AN,SARAN F-120 VCL2/AN?,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SARAN F-120 VCL2/AN,SARAN F-120 VCL2/AN,,,,
SARAN F-220,SARAN F-220 ?,,28.8,16.8,0.8,23.7,Vinyl Polymer,PVDC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SARAN F-220,SARAN F-220,,,,
SINCLAIR 3840A,SINCLAIR 3840A,,18.4,4.0,9.6,7.3,Acrylic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SINCLAIR 3840A,SINCLAIR 3840A,,,,
VA/EHA/MA 63/33/4,VA/EHA/MA 63/33/4,,17.7,6.3,7.7,5.3,Vinyl Polymer,PVAc,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VA/EHA/MA 63/33/4,VA/EHA/MA 63/33/4,,,,
VA/EHA/CYC/MAA/76/12/8/4,VA/EHA/CYC/MAA/76/12/8/4,,21.2,12.4,13.0,12.6,Vinyl Polymer,PVAc,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VA/EHA/CYC/MAA/76/12/8/4,VA/EHA/CYC/MAA/76/12/8/4,,,,
VA/EA/CY 70/20/10,VA/EA/CY 70/20/10,,20.0,12.0,11.0,15.0,Vinyl Polymer,PVAc,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VA/EA/CY 70/20/10,VA/EA/CY 70/20/10,,,,
VBE/AN/MAA 46/27/27,VBE/AN/MAA 46/27/27,,18.9,11.7,11.1,9.6,Vinyl Polymer,PVE,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VBE/AN/MAA 46/27/27,VBE/AN/MAA 46/27/27,,,,
VBE/MA/MAC46/27/27,VBE/MA/MAC46/27/27,,19.4,13.0,13.8,12.3,Vinyl Polymer,PVE,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VBE/MA/MAC46/27/27,VBE/MA/MAC46/27/27,,,,
VDC/AA 75/25,VDC/AA 75/25 ?,,20.4,11.0,0.8,11.7,Vinyl Polymer,PVDC,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VDC/AA 75/25,VDC/AA 75/25,,,,
VINYLITE AYAA PVAC,VINYLITE AYAA PVAC,,22.9,18.3,7.7,20.4,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE AYAA PVAC,VINYLITE AYAA PVAC,,,,
VINYLITE VAGH,VINYLITE VAGH,,17.0,7.8,6.8,7.1,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VAGH,VINYLITE VAGH,,,,
VINYLITE VMCH,VINYLITE VMCH,,18.3,9.7,7.7,8.5,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VMCH,VINYLITE VMCH,,,,
VINYLITE VXCC,VINYLITE VXCC,,18.0,9.4,4.6,8.4,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VXCC,VINYLITE VXCC,,,,
VINYLITE VYHH,VINYLITE VYHH,,19.0,11.0,5.0,10.0,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYHH,VINYLITE VYHH,,,,
VINYLITE VYLF,VINYLITE VYLF,,18.0,9.4,4.6,8.4,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE VYLF,VINYLITE VYLF,,,,
VINYLITE XYHL PVBUTYRAL,VINYLITE XYHL PVBUTYRAL,,19.0,9.0,15.0,12.0,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE XYHL PVBUTYRAL,VINYLITE XYHL PVBUTYRAL,,,,
VINYLITE XYSG PVBUTYRAL,VINYLITE XYSG PVBUTYRAL,,19.0,9.0,15.0,12.0,Vinyl Polymer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYLITE XYSG PVBUTYRAL,VINYLITE XYSG PVBUTYRAL,,,,
VYSET 69,VYSET 69,,17.9,3.5,7.5,5.9,Acrylic,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VYSET 69,VYSET 69,,,,
ACRYLAMIDE MONOMER,ACRYLAMIDE MONOMER,79-06-1,16.9,18.1,19.9,17.0,Biological & Other,Monomer,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ACRYLAMIDE MONOMER,ACRYLAMIDE MONOMER,,,,
BAKELITE SULFONE P-47,BAKELITE SULFONE P-47,,20.0,3.0,6.0,3.0,Phenolic Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BAKELITE SULFONE P-47,BAKELITE SULFONE P-47,,,,
BECKOLIN 27 MODIF OIL,BECKOLIN 27 MODIF OIL,,11.4,0.0,3.0,18.1,Polyester & Alkyd,Alkyd,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BECKOLIN 27 MODIF OIL,BECKOLIN 27 MODIF OIL,,,,
PEO 4000 SAMPLES HEATED,PEO 4000 ? SAMPLES HEATED,,22.2,11.2,13.2,17.1,Polyolefin,PEO,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PEO 4000 SAMPLES HEATED,PEO 4000 SAMPLES HEATED,,,,
CHLORINATED RUBBER,CHLORINATED RUBBER,,18.0,6.0,5.0,7.0,Elastomer,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CHLORINATED RUBBER,CHLORINATED RUBBER,,,,
CONOCO H-35 HYDROCARBON M,CONOCO H-35 HYDROCARBON M,,11.4,0.0,3.0,18.1,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CONOCO H-35 HYDROCARBON M,CONOCO H-35 HYDROCARBON M,,,,
DAMMAR GUM DEWAXED,DAMMAR GUM DEWAXED,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,Dammar,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Dammar resin,dammar,dammar varnish; dammer resin,,,,
EPOCRYL E-11,EPOCRYL E-11 ?,,17.3,12.9,12.1,8.5,Acrylic,Epoxy Acrylate,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EPOCRYL E-11,EPOCRYL E-11,,,,
ESTANE X-7 DIOXANE ONLY,ESTANE X-7 ?? DIOXANE ONLY,,19.0,1.8,7.4,1.0,Polyurethane,TPU,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ESTANE X-7 DIOXANE ONLY,ESTANE X-7 DIOXANE ONLY,,,,
HEXADECYL MONOESTER TRIME,HEXADECYL MONOESTER TRIME,,19.0,11.6,14.0,11.9,Polyester & Alkyd,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,HEXADECYL MONOESTER TRIME,HEXADECYL MONOESTER TRIME,,,,
HYDR SPERM OIL WX135,HYDR SPERM OIL WX135,,20.0,4.0,2.0,5.0,Natural & Petroleum Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,HYDR SPERM OIL WX135,HYDR SPERM OIL WX135,,,,
HYPALON 20 CHL SULF PE,HYPALON 20 CHL SULF PE,,17.8,3.2,4.4,4.1,Elastomer,CSM,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,
HYPALON 30,HYPALON 30,,17.8,3.4,3.2,5.1,Elastomer,CSM,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,
KETONE RESIN S588,KETONE RESIN S588,,18.0,10.8,13.2,12.2,Natural & Petroleum Resin,Ketone Resin,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,KETONE RESIN S588,KETONE RESIN S588,,,,
SANTOLITE MHP ARYLSULFONA,SANTOLITE MHP ARYLSULFONA,,18.4,12.0,8.4,10.6,Amino Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SANTOLITE MHP ARYLSULFONA,SANTOLITE MHP ARYLSULFONA,,,,
pTOLSULFONAMIDE-FORMALDEH,pTOLSULFONAMIDE-FORMALDEH,,24.6,18.6,16.4,20.9,Amino Resin,,estimated,low,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,pTOLSULFONAMIDE-FORMALDEH,pTOLSULFONAMIDE-FORMALDEH,,,,
VYHH-NIF REPT,VYHH-NIF REPT,,17.4,9.9,6.7,7.5,Vinyl Polymer,PVC,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VYHH-NIF REPT,VYHH-NIF REPT,,,,
