name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
LIGNIN,LIGNIN,Lignin,lignin,lignosulfonate; technical lignin,,9005-53-2,,,,20.61,13.88,15.25,11.83,Natural & Petroleum Resin,Lignin,estimated,medium,[PRE] route=standard; [CAS] from v5 cache: 9005-53-2; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
CHOLESTEROL,CHOLESTEROL,,CHOLESTEROL,CHOLESTEROL,,,,,,20.4,2.8,9.4,12.6,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
CHLOROPHYLL,CHLOROPHYLL,,CHLOROPHYLL,CHLOROPHYLL,,,,,,20.2,15.6,18.2,11.1,Biological & Other,,estimated,medium,[PRE] route=flag_out_of_scope; [PRE] out-of-scope entry; [CAS] not found; [CLASS] class from brand prefix mapping
CELLULOSE-PAPER STRENGTH,CELLULOSE-PAPER STRENGTH,,CELLULOSE-PAPER STRENGTH,CELLULOSE-PAPER STRENGTH,,,,,,25.4,18.6,24.8,21.7,Cellulosic Polymer,,estimated,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
PSU ULTRASON S,PSU ULTRASON S,,PSU ULTRASON S,PSU ULTRASON S,,,,,,19.7,8.3,8.3,8.0,Polysulfone / PES / PPS,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPSU\b|\bPES\b
BAREX 210 CR,BAREX 210 CR,,BAREX 210 CR,BAREX 210 CR,,,,,,20.1,9.1,12.7,10.9,Acrylic,Acrylonitrile copolymer,chemical_resistance,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bBAREX\b
BAREX 210 CR-STYRENE,BAREX 210 CR-STYRENE,,BAREX 210 CR-STYRENE,BAREX 210 CR-STYRENE,,,,,,17.7,8.9,10.9,6.4,Styrenic,,chemical_resistance,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB
PARALOID B72,Paraloid B72,,Paraloid B72,Paraloid B72,,,,,,17.6,7.4,5.6,9.4,Acrylic,,solubility,medium,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ESTIMATE DRIED OIL,ESTIMATE DRIED OIL,,ESTIMATE DRIED OIL,ESTIMATE DRIED OIL,,,,,,16.0,6.0,7.0,5.0,Natural & Petroleum Resin,Drying oil,solubility,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: DRIED OIL|ESTIMATE DRIED
DAMMAR DEWAXED,DAMMAR DEWAXED,Dammar resin,dammar,dammar varnish; dammer resin,,,,,,19.0,2.0,9.0,9.0,Natural & Petroleum Resin,Dammar,solubility,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
LDPE PERM>80,LDPE PERM>80,,LDPE PERM>80,LDPE PERM>80,,,,,,16.5,4.5,0.5,6.0,Polyolefin,,permeation,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
LDPE PERM<0.8,LDPE PERM<0.8,,LDPE PERM<0.8,LDPE PERM<0.8,,,,,,15.3,5.3,2.5,10.1,Polyolefin,,permeation,high,[OCR] HSP column-shift corrected; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
TOLONATE HDT (RH-POULENC),TOLONATE HDT,,TOLONATE HDT,RH-POULENC,,,,,,19.0,11.0,3.0,12.0,Polyurethane,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bTOLONATE\b|\bSUPRASEC\b
TOLONATE HDB (RH-POULENC),TOLONATE HDB,,TOLONATE HDB,RH-POULENC,,,,,,19.0,11.0,2.0,11.3,Polyurethane,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bTOLONATE\b|\bSUPRASEC\b
R ACM,R ACM,,R ACM,R ACM,,,,,,16.8,11.8,11.6,17.0,Elastomer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bR BUTYL\b|\bR CSM\b|\bR ACM\b|\bR EPDM
R BUTYL,R BUTYL,,R BUTYL,R BUTYL,,,,,,18.0,0.0,3.0,9.0,Elastomer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bR BUTYL\b|\bR CSM\b|\bR ACM\b|\bR EPDM
R ECO,R ECO,,R ECO,R ECO,,,,,,21.3,8.1,6.1,12.0,Elastomer,ECO,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bECO\b.*RUBBER|\bR ECO\b
R CSM,R CSM,,R CSM,R CSM,,,,,,28.0,14.0,3.4,28.3,Elastomer,Chlorinated/Halogenated Rubber,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
R EBONITE (DATA FIT 0.722),R EBONITE,,R EBONITE,DATA FIT 0.722,,,,,,18.7,6.1,2.7,6.6,Elastomer,Ebonite,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bR EBONITE\b
R ETHYLENE/PROPYLENE,R ETHYLENE/PROPYLENE,,R ETHYLENE/PROPYLENE,R ETHYLENE/PROPYLENE,,,,,,16.6,0.0,5.2,9.1,Elastomer,EPDM,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+ETHYLENE.*PROPYLENE|^R\s+PROP.*ETHY
R EPDM,R EPDM,,R EPDM,R EPDM,,,,,,18.6,-3.4,4.4,10.7,Elastomer,,chemical_resistance,medium,[PRE] route=resistance_data; [HSP] hsp_flag_dp_negative; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
R FQ FL/SI,R FQ FL/SI,,R FQ FL/SI,R FQ FL/SI,,,,,,15.9,20.1,6.9,16.8,Fluoropolymer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*FLUOROCARBON|^R\s+.*TETFL|^R\s+.*
R FKM (VITON) (0.76 DATA FIT),R FKM,,R FKM,VITON,,,,,,11.6,23.0,5.0,21.6,Fluoropolymer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F
R NR NAT RUB,R NR NAT RUB,"Polyisoprene, natural",natural rubber,NR; natural rubber,,,,,,20.8,1.8,3.6,14.0,Elastomer,Natural rubber,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bR BUTYL\b|\bR CSM\b|\bR ACM\b|\bR EPDM
R NBR,R NBR,,R NBR,R NBR,,,,,,19.8,17.8,3.2,19.0,Elastomer,,chemical_resistance,medium,[OCR] Ro rounded to 2dp; [PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
R CR CHLOROPRENE,R CR CHLOROPRENE,,R CR CHLOROPRENE,R CR CHLOROPRENE,,,,,,24.6,8.6,6.4,20.4,Elastomer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
R AU ESTER PU,R AU ESTER PU,,R AU ESTER PU,R AU ESTER PU,,,,,,17.9,13.3,10.7,17.1,Polyurethane,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYURETHANE|^R\s+.*\bPU\b|\bR AU
R PEU ETHER PU,R PEU ETHER PU,,R PEU ETHER PU,R PEU ETHER PU,,,,,,17.9,13.3,10.7,17.1,Polyurethane,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYURETHANE|^R\s+.*\bPU\b|\bR AU
R T SULPHIDE,R T SULPHIDE,,R T SULPHIDE,R T SULPHIDE,,,,,,25.3,17.3,6.7,23.6,Polysulfone / PES / PPS,Polysulfide,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYSULPHIDE|\bR T SULPHIDE\b
R Q SILICONE (0.748 DATA FIT),R Q SILICONE (0.748 DATA FIT),,R Q SILICONE (0.748 DATA FIT),R Q SILICONE (0.748 DATA FIT),,,,,,13.8,5.0,1.2,14.3,Elastomer,Silicone,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: SILICONE|BAYSILON|SILICON RESIN|POLY.DIM
R SBR,R SBR,,R SBR,R SBR,,,,,,17.2,6.0,4.6,9.8,Elastomer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
R TFP TETFLPROP (0.744 DATA FIT),R TFP TETFLPROP (0.744 DATA FIT),,R TFP TETFLPROP (0.744 DATA FIT),R TFP TETFLPROP (0.744 DATA FIT),,,,,,16.6,6.8,0.6,7.9,Fluoropolymer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*FLUOROCARBON|^R\s+.*TETFL|^R\s+.*
R ABS,R ABS,,R ABS,R ABS,,,,,,17.6,8.6,6.4,10.9,Styrenic,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB
R CELLULOSE ACETATE,R CELLULOSE ACETATE,,R CELLULOSE ACETATE,R CELLULOSE ACETATE,,,,,,14.9,7.1,11.1,12.4,Cellulosic Polymer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
R CHLORINATED PVC,R CHLORINATED PVC,,R CHLORINATED PVC,R CHLORINATED PVC,,,,,,17.5,6.5,5.5,6.3,Vinyl Polymer,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
R DIALLYLPHTHALATE,R DIALLYLPHTHALATE,,R DIALLYLPHTHALATE,R DIALLYLPHTHALATE,,,,,,22.2,12.2,8.6,15.8,Polyester & Alkyd,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
R POM ACETAL,R POM ACETAL,,R POM ACETAL,R POM ACETAL,,,,,,17.2,9.0,9.8,5.3,Polyacetal / PEI / PC,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYCARBONATE|\bPOM\b|POLYACETAL|POLYOXY
R PA12,R PA12,,R PA12,R PA12,,,,,,18.5,8.1,9.1,6.3,Polyamide,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYAMIDE|^R\s+.*PA\d|\bR PA12\b
R PA66,R PA66,,R PA66,R PA66,,,,,,18.2,8.8,10.8,5.2,Polyamide,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA
R POLYAMIDEIMIDE,R POLYAMIDEIMIDE,,R POLYAMIDEIMIDE,R POLYAMIDEIMIDE,,,,,,18.5,5.7,8.7,4.2,Polyamide,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA
R POLYBUTYLENETEREPH,R POLYBUTYLENETEREPH,,R POLYBUTYLENETEREPH,R POLYBUTYLENETEREPH,,,,,,18.0,5.6,8.4,4.5,Polyester & Alkyd,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
R POLYCARBONATE,R POLYCARBONATE,,R POLYCARBONATE,R POLYCARBONATE,,,,,,19.1,10.9,5.1,12.1,Polyacetal / PEI / PC,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYCARBONATE|\bPOM\b|POLYACETAL|POLYOXY
R HDPE/LDPE,R HDPE/LDPE,,R HDPE/LDPE,R HDPE/LDPE,,,,,,17.5,4.3,8.3,3.9,Polyolefin,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
R PET,R PET,,R PET,R PET,,,,,,19.1,6.3,9.1,4.8,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T
R POLYIMIDES,R POLYIMIDES,,R POLYIMIDES,R POLYIMIDES,,,,,,24.3,19.5,22.9,21.6,Polysulfone / PES / PPS,Polyimide,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: POLYIMIDE|\bPI\b|KAPTON
R PMMA,R PMMA,,R PMMA,R PMMA,,,,,,19.3,16.7,4.7,17.4,Acrylic,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
R TPX,R TPX,,R TPX,R TPX,,,,,,18.8,1.4,6.4,7.9,Polyolefin,Poly(4-methylpentene),chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bTPX\b|POLY.4.METHYLPENT
R POLYPHENYLENEOXIDE,R POLYPHENYLENEOXIDE,,R POLYPHENYLENEOXIDE,R POLYPHENYLENEOXIDE,,,,,,16.9,8.9,2.7,11.7,Polyacetal / PEI / PC,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYCARBONATE|^R\s+.*PPO|\bR POLY
R POLYSULPHONE,R POLYSULPHONE,,R POLYSULPHONE,R POLYSULPHONE,,,,,,19.8,11.2,6.2,11.3,Polysulfone / PES / PPS,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: ^R\s+.*POLYSULFONE|^R\s+.*PSU|\bR POLYSU
R POLYPROPYLENE,R POLYPROPYLENE,,R POLYPROPYLENE,R POLYPROPYLENE,,,,,,17.2,5.6,-0.4,4.5,Polyolefin,,chemical_resistance,medium,[PRE] route=resistance_data; [HSP] hsp_flag_dh_negative; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
R EPOXY COLD CURING,R EPOXY COLD CURING,,R EPOXY COLD CURING,R EPOXY COLD CURING,,,,,,16.8,10.8,8.8,8.2,Epoxy Resin,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|
R EPOXY HOT CURING,R EPOXY HOT CURING,,R EPOXY HOT CURING,R EPOXY HOT CURING,,,,,,18.3,12.3,9.7,7.3,Epoxy Resin,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: EPOXY|\bEPIKOTE\b|\bEPON\b|\bARALDITE\b|
R HET RESIN,R HET RESIN,,R HET RESIN,R HET RESIN,,,,,,17.5,11.3,8.3,8.6,Phenolic Resin,HET resin,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bHET RESIN\b|^R\s+HET
R ISOPHTHALIC,R ISOPHTHALIC,,R ISOPHTHALIC,R ISOPHTHALIC,,,,,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
R TEREPHTALIC,R TEREPHTALIC,,R TEREPHTALIC,R TEREPHTALIC,,,,,,19.8,17.4,4.2,18.0,Polyester & Alkyd,,chemical_resistance,medium,[PRE] route=resistance_data; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
EPIKOTE 828 (60%),EPIKOTE 828 (60%),Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,,,16.6,14.0,2.8,14.9,Epoxy Resin,DGEBA epoxy,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 828 (30%),EPIKOTE 828 (30%),Bisphenol A diglycidyl ether,DGEBA epoxy resin,DGEBA; bisphenol-A epoxy; liquid epoxy resin,EP,,,,,16.3,16.4,1.9,16.7,Epoxy Resin,DGEBA epoxy,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1001 (60%),EPIKOTE 1001 (60%),"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,,,15.8,16.3,3.3,16.4,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1001 (40%),EPIKOTE 1001 (40%),"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,,,16.3,13.1,6.3,10.9,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1001 (20%),EPIKOTE 1001 (20%),"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,,,19.8,13.6,8.9,12.0,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1001 (10%),EPIKOTE 1001 (10%),"Bisphenol A diglycidyl ether, MW ~1000",solid epoxy resin,BPA epoxy; DGEBA; solid epoxy,EP,,,,,18.1,11.4,9.0,9.1,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1004 (60%),EPIKOTE 1004 (60%),"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,,,17.7,10.1,7.6,9.8,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1004 (30%),EPIKOTE 1004 (30%),"Bisphenol A diglycidyl ether, MW ~1600",solid epoxy resin,BPA epoxy; solid epoxy resin,EP,,,,,18.5,9.3,8.0,9.6,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1007 (30%),EPIKOTE 1007 (30%),"Bisphenol A diglycidyl ether, MW ~2900",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,18.6,10.6,8.1,8.8,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1009 (60%),EPIKOTE 1009 (60%),"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,17.0,9.6,8.5,7.6,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1009 (30%),EPIKOTE 1009 (30%),"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,19.8,10.6,10.3,9.7,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
EPIKOTE 1009 (10%),EPIKOTE 1009 (10%),"Bisphenol A diglycidyl ether, MW ~3750",high-MW solid epoxy resin,DGEBA; solid epoxy,EP,,,,,19.0,9.1,10.7,8.0,Epoxy Resin,BPA epoxy solid,concentration_series,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PIBMA (10%),PIBMA (10%),,PIBMA (10%),PIBMA (10%),,,,,,17.0,4.6,7.6,9.5,Acrylic,PIBMA,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPIBMA\b
PIBMA (30%),PIBMA (30%),,PIBMA (30%),PIBMA (30%),,,,,,17.1,5.9,0.7,7.3,Acrylic,PIBMA,concentration_series,high,[OCR] Ro rounded to 2dp; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPIBMA\b
PMMA (10%),PMMA (10%),,PMMA (10%),PMMA (10%),,,,,,17.8,10.4,2.9,9.6,Acrylic,,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PMMA (30%),PMMA (30%),,PMMA (30%),PMMA (30%),,,,,,17.2,7.2,3.5,4.8,Acrylic,,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PBMA (10%),PBMA (10%),,PBMA (10%),PBMA (10%),,,,,,20.6,3.5,7.2,12.8,Acrylic,PBMA,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPBMA\b
PBMA (30%),PBMA (30%),,PBMA (30%),PBMA (30%),,,,,,18.1,5.7,0.0,8.5,Acrylic,PBMA,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPBMA\b
PMMA (10%),PMMA (10%),,PMMA (10%),PMMA (10%),,,,,,17.6,10.1,5.8,9.4,Acrylic,,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PMMA (30%),PMMA (30%),,PMMA (30%),PMMA (30%),,,,,,17.5,5.5,3.8,4.5,Acrylic,,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PEMA (10%),PEMA (10%),,PEMA (10%),PEMA (10%),,,,,,16.5,8.7,5.0,10.4,Acrylic,PEMA,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEMA\b
PEMA (30%),PEMA (30%),,PEMA (30%),PEMA (30%),,,,,,16.9,7.8,0.5,7.3,Acrylic,PEMA,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEMA\b
CRODA AC500 THERMOSET (10%),CRODA AC500 THERMOSET (10%),,CRODA AC500 THERMOSET (10%),CRODA AC500 THERMOSET (10%),,,,,,17.8,6.4,4.7,10.7,Acrylic,Thermoset Acrylic,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bCRODA\b
CRODA AC500 THERMOSET (30%),CRODA AC500 THERMOSET (30%),,CRODA AC500 THERMOSET (30%),CRODA AC500 THERMOSET (30%),,,,,,21.2,1.4,10.7,12.3,Acrylic,Thermoset Acrylic,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bCRODA\b
CRODA AC550 THERMOSET (10%),CRODA AC550 THERMOSET (10%),,CRODA AC550 THERMOSET (10%),CRODA AC550 THERMOSET (10%),,,,,,16.3,10.6,7.4,12.9,Acrylic,Thermoset Acrylic,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bCRODA\b
CRODA AC550 THERMOSET (30%),CRODA AC550 THERMOSET (30%),,CRODA AC550 THERMOSET (30%),CRODA AC550 THERMOSET (30%),,,,,,16.3,10.6,7.4,12.9,Acrylic,Thermoset Acrylic,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bCRODA\b
LUMIFLON LF-200 (10%),Lumiflon LF-200 (10%),Fluoroethylene-alkyl vinyl ether copolymer,Lumiflon fluoropolymer resin,FEVE resin; Lumiflon,,,,,,18.5,5.4,6.9,9.9,Fluoropolymer,FEVE,concentration_series,high,[OCR] name: 'LUMFLON LF200 (10%)' → 'LUMIFLON LF-200 (10%)'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
LUMIFLON LF-200 (30%),Lumiflon LF-200 (30%),Fluoroethylene-alkyl vinyl ether copolymer,Lumiflon fluoropolymer resin,FEVE resin; Lumiflon,,,,,,20.1,4.4,3.2,8.5,Fluoropolymer,FEVE,concentration_series,high,[OCR] name: 'LUMFLON LF200 (30%)' → 'LUMIFLON LF-200 (30%)'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
LUMIFLON LF-916 (10%),Lumiflon LF-916 (10%),Fluoroethylene-alkyl vinyl ether copolymer,Lumiflon fluoropolymer resin,FEVE resin,,,,,,17.5,6.8,10.5,12.5,Fluoropolymer,FEVE,concentration_series,high,[OCR] name: 'LUMFLON LF916 (10%)' → 'LUMIFLON LF-916 (10%)'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
LUMIFLON LF-916 (30%),Lumiflon LF-916 (30%),Fluoroethylene-alkyl vinyl ether copolymer,Lumiflon fluoropolymer resin,FEVE resin,,,,,,18.1,3.9,8.3,8.8,Fluoropolymer,FEVE,concentration_series,high,[OCR] name: 'LUMFLON LF916 (30%)' → 'LUMIFLON LF-916 (30%)'; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PLASTOKYD S27 (30%),PLASTOKYD S27 (30%),,PLASTOKYD S27 (30%),PLASTOKYD S27 (30%),,,,,,20.1,5.7,5.3,20.0,Polyester & Alkyd,Alkyd,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
PLASTOKYD SC140 (30%),PLASTOKYD SC140 (30%),,PLASTOKYD SC140 (30%),PLASTOKYD SC140 (30%),,,,,,25.2,9.2,3.7,20.0,Polyester & Alkyd,Alkyd,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
PLASTOKYD SC400 (30%),PLASTOKYD SC400 (30%),,PLASTOKYD SC400 (30%),PLASTOKYD SC400 (30%),,,,,,23.7,0.5,10.3,20.0,Polyester & Alkyd,Alkyd,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
PLASTOKYD AC4X (30%),PLASTOKYD AC4X (30%),,PLASTOKYD AC4X (30%),PLASTOKYD AC4X (30%),,,,,,23.9,7.8,8.8,19.9,Polyester & Alkyd,Alkyd,concentration_series,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
