name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
PARLON P 10,PARLON P 10,Chlorinated rubber,chlorinated rubber,CR; chloroprene rubber,,,,,,20.26,6.32,5.4,10.64,Elastomer,Chlorinated rubber,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
HYPALON 20,HYPALON 20,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,,,18.1,3.4,4.9,3.6,Elastomer,CSM,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
HYPALON 30,HYPALON 30,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,,,,,18.2,4.7,2.0,5.0,Elastomer,CSM,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
ALPEX,ALPEX,Poly(ethylene-co-propylene),ethylene-propylene copolymer,EP copolymer; polyolefin wax,,,,,,19.9,0.0,0.0,9.4,Natural & Petroleum Resin,EP copolymer,solubility,high,[PRE] route=standard; [HSP] near-nonpolar; [CAS] not found; [CAS] not found; [CLASS] rule: \bALPEX\b
1/2-sec.-NITROCELLULOSE H 23,1/2-sec.-NITROCELLULOSE H 23,Cellulose nitrate,nitrocellulose,NC; guncotton; cellulose nitrate,,,,,,15.41,14.73,8.84,11.46,Cellulosic Polymer,Nitrocellulose,solubility,high,[OCR] name: '1/2-sec.-NITRO CELLULOSE H 23' → '1/2-sec.-NITROCELLULOSE H 23'; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
CELLOLYN 102,CELLOLYN 102,Pentaerythritol ester of rosin modified with cellulose,rosin-modified cellulose ester,rosin ester,,,,,,21.73,0.94,8.53,15.75,Cellulosic Polymer,Rosin ester,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
PENTALYN 255,Pentalyn 255,Glycerol ester of hydrogenated rosin,rosin ester,hydrogenated rosin ester; Pentalyn,,,,,,17.55,9.37,14.32,10.64,Natural & Petroleum Resin,Rosin ester,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
PENTALYN 830,Pentalyn 830,,Pentalyn 830,Pentalyn 830,,,,,,20.03,5.81,10.93,11.66,Natural & Petroleum Resin,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ESTER GUM BL,ESTER GUM BL,,ESTER GUM BL,ESTER GUM BL,,,,,,19.64,4.73,7.77,10.64,Cellulosic Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
VERSAMID 930,Versamid 930,"Dimer acid-based polyamide, low viscosity",polyamide resin,reactive polyamide,PA,,,,,17.43,-1.92,14.89,9.62,Polyamide,Dimer acid polyamide,solubility,high,[PRE] route=trade_name; [HSP] hsp_flag_dp_negative; [CAS] not found; [CLASS] class from brand prefix mapping
VERSAMID 961,Versamid 961,,Versamid 961,Versamid 961,PA,,,,,18.9,9.6,11.1,6.2,Polyamide,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
VERSAMID 965,Versamid 965,,Versamid 965,Versamid 965,PA,,,,,20.15,6.04,12.9,9.2,Polyamide,,solubility,high,[OCR] Ro rounded to 2dp; [PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMODUR L,Desmodur L,,Desmodur L,Desmodur L,PU,,,,,17.5,11.3,5.9,8.5,Polyurethane,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
DESMODUR N,Desmodur N,,Desmodur N,Desmodur N,PU,28574-90-5,,,,17.6,10.0,3.7,9.3,Polyurethane,,solubility,high,[PRE] route=trade_name; [CAS] from v5 cache: 28574-90-5; [CLASS] class from brand prefix mapping
SUPRASEC F-5100,SUPRASEC F-5100,,SUPRASEC F-5100,SUPRASEC F-5100,,,,,,19.7,12.9,12.8,11.4,Polyurethane,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bTOLONATE\b|\bSUPRASEC\b
MOWITAL B 30 H,Mowital B 30 H,Poly(vinyl butyral),polyvinyl butyral,PVB; Mowital,,,,,,18.6,12.9,10.3,8.3,Vinyl Polymer,PVB,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
MOWITAL B 60 H,Mowital B 60 H,,Mowital B 60 H,Mowital B 60 H,,,,,,20.2,11.2,13.3,11.2,Vinyl Polymer,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
BUTVAR B 76,Butvar B 76,,Butvar B 76,Butvar B 76,,,,,,18.6,4.36,13.03,10.64,Vinyl Polymer,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
LUCITE 2042 PEMA,LUCITE 2042 PEMA,,LUCITE 2042 PEMA,LUCITE 2042 PEMA,,,,,,17.6,9.66,3.97,10.64,Acrylic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
LUCITE 2044 PMMA,LUCITE 2044 PMMA,,LUCITE 2044 PMMA,LUCITE 2044 PMMA,,,,,,16.2,6.8,5.7,9.1,Acrylic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PLEXIGUM MB319,PLEXIGUM MB319,,PLEXIGUM MB319,PLEXIGUM MB319,,,,,,18.6,10.8,4.1,11.5,Acrylic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PLEXIGUM M527,PLEXIGUM M527,,PLEXIGUM M527,PLEXIGUM M527,,,,,,18.4,9.4,6.5,10.7,Acrylic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PMMA,PMMA,Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass; perspex,PMMA,,https://pubchem.ncbi.nlm.nih.gov/compound/6328,,,18.64,10.52,7.51,8.59,Acrylic,,solubility,high,[PRE] route=standard; [CAS] PubChem CID from acronym table: 6328; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
MOWILITH 50 PVAC,MOWILITH 50 PVAC,,MOWILITH 50 PVAC,MOWILITH 50 PVAC,,,,,,20.93,11.27,9.66,13.71,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
POLYSTYRENE LG,POLYSTYRENE LG,,POLYSTYRENE LG,POLYSTYRENE LG,,,,,,22.28,5.75,4.3,12.68,Styrenic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB
LAROFLEX MP 45,LAROFLEX MP 45,,LAROFLEX MP 45,LAROFLEX MP 45,,,,,,18.4,8.4,5.8,9.0,Acrylic,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
VILIT MB 30,VILIT MB 30,,VILIT MB 30,VILIT MB 30,,,,,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VILIT MC 31,VILIT MC 31,,VILIT MC 31,VILIT MC 31,,,,,,20.0,8.3,6.7,9.4,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VILIT MC 39,VILIT MC 39,,VILIT MC 39,VILIT MC 39,,,,,,18.4,7.6,6.7,6.8,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VAGD,VINYLITE VAGD,,VINYLITE VAGD,VINYLITE VAGD,,,,,,17.1,10.4,6.5,7.5,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VAGH,VINYLITE VAGH,,VINYLITE VAGH,VINYLITE VAGH,,,,,,16.5,10.9,6.4,7.7,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VMCA,VINYLITE VMCA,,VINYLITE VMCA,VINYLITE VMCA,,,,,,17.7,11.1,6.9,8.7,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VMCC,VINYLITE VMCC,,VINYLITE VMCC,VINYLITE VMCC,,,,,,17.6,11.1,6.8,8.8,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VMCH,VINYLITE VMCH,,VINYLITE VMCH,VINYLITE VMCH,,,,,,17.6,11.1,6.4,8.6,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VYHH,VINYLITE VYHH,,VINYLITE VYHH,VINYLITE VYHH,,,,,,17.4,10.2,5.9,7.8,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
VINYLITE VYLF,VINYLITE VYLF,,VINYLITE VYLF,VINYLITE VYLF,,,,,,18.1,10.3,4.2,8.3,Vinyl Polymer,,solubility,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
ALFTALAT AC 366,Alftalat AC 366,,Alftalat AC 366,Alftalat AC 366,,,,,,18.6,10.0,5.0,10.4,Polyester & Alkyd,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ALFTALAT AM 756,Alftalat AM 756,,Alftalat AM 756,Alftalat AM 756,,,,,,23.0,2.2,4.2,16.9,Polyester & Alkyd,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ALFTALAT AN 896,Alftalat AN 896,,Alftalat AN 896,Alftalat AN 896,,,,,,22.9,15.2,7.6,18.1,Polyester & Alkyd,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ALFTALAT AN 950,Alftalat AN 950,,Alftalat AN 950,Alftalat AN 950,,,,,,22.6,13.8,8.1,17.1,Polyester & Alkyd,,solubility,high,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
